,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
0,0400000US01,01,01,01,000001,4876250,2229479,2097384,5.9,50536,27928,16.7,86.2,25.5,792,29.0,142700,15.5,24.9,8.8,Alabama
1,0400000US02,02,02,01,000002,737068,374582,347774,7.2,77640,36787,10.7,92.8,29.6,1244,27.7,270400,18.2,19.1,12.2,Alaska
2,0400000US04,04,04,01,000004,7050299,3326563,3130658,5.9,58945,30694,15.1,87.1,29.5,1052,29.1,225500,17.5,25.7,9.0,Arizona
3,0400000US05,05,05,01,000005,2999370,1373971,1303490,5.1,47597,26577,17.0,86.6,23.0,745,27.8,127800,14.9,21.7,8.6,Arkansas
4,0400000US06,06,06,01,000006,39283497,19790474,18591241,6.1,75235,36955,13.4,83.3,33.9,1503,32.5,505000,21.6,29.8,5.2,California
5,0400000US08,08,08,01,000008,5610349,3035960,2904589,4.3,72331,38226,10.3,91.7,40.9,1271,30.5,343300,18.5,25.8,8.7,Colorado
6,0400000US10,10,10,01,000010,957248,482101,455620,5.5,68287,35450,11.8,90.0,32.0,1130,29.6,251100,17.7,26.3,8.7,Delaware
7,0400000US11,11,11,01,000011,692683,404838,376871,6.9,86420,56147,16.2,90.9,58.5,1541,28.5,601500,18.7,30.8,4.6,District of Columbia
8,0400000US09,09,09,01,000009,3575074,1932092,1815636,6.0,78444,44496,9.9,90.6,39.3,1180,30.9,275400,20.6,26.6,5.9,Connecticut
9,0400000US12,12,12,01,000012,20901636,10056801,9495353,5.6,55660,31619,14.0,88.2,29.9,1175,33.3,215300,18.6,27.8,8.6,Florida
10,0400000US13,13,13,01,000013,10403847,5125182,4834622,5.7,58700,31067,15.1,87.1,31.3,1006,29.6,176000,17.2,28.8,8.0,Georgia
