alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,37389218,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389218&format=geojson,0.008693,,85.0,",ci37389218,",1.35,ml,,ci,26.0,"9km NE of Aguanga, CA",0.19,28,",ci,",automatic,1539475168010,"M 1.4 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539475395144,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389218
,,37389202,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389202&format=geojson,0.02003,,79.0,",ci37389202,",1.29,ml,,ci,20.0,"9km NE of Aguanga, CA",0.29,26,",ci,",automatic,1539475129610,"M 1.3 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539475253925,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389202
,4.4,37389194,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389194&format=geojson,0.02137,28.0,21.0,",ci37389194,",3.42,ml,,ci,111.0,"8km NE of Aguanga, CA",0.22,192,",ci,",automatic,1539475062610,"M 3.4 - 8km NE of Aguanga, CA",0,earthquake,",dyfi,focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1539536756176,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389194
,,37389186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389186&format=geojson,0.02618,,39.0,",ci37389186,",0.44,ml,,ci,26.0,"9km NE of Aguanga, CA",0.17,3,",ci,",automatic,1539474978070,"M 0.4 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539475196167,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389186
,,73096941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096941&format=geojson,0.07799,,192.0,",nc73096941,",2.16,md,,nc,18.0,"10km NW of Avenal, CA",0.05,72,",nc,",automatic,1539474716050,"M 2.2 - 10km NW of Avenal, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539477547926,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096941
,,2018286011,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018286011&format=geojson,0.4373,,158.0,",pr2018286011,",2.61,md,,pr,10.0,"55km ESE of Punta Cana, Dominican Republic",0.41,105,",pr,",reviewed,1539473686440,"M 2.6 - 55km ESE of Punta Cana, Dominican Republic",0,earthquake,",geoserve,origin,phase-data,",-300.0,1539500579236,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018286011
,,20280432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280432&format=geojson,,,,",ak20280432,",1.7,ml,,ak,,"105km W of Talkeetna, Alaska",0.54,44,",ak,",automatic,1539473176017,"M 1.7 - 105km W of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539473596465,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280432
,,73096936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096936&format=geojson,0.01622,,83.0,",nc73096936,",1.13,md,,nc,16.0,"10km NW of Parkfield, CA",0.05,20,",nc,",automatic,1539473060280,"M 1.1 - 10km NW of Parkfield, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539476642808,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096936
,,73096931,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096931&format=geojson,0.009138,,52.0,",nc73096931,",0.92,md,,nc,20.0,"6km NW of The Geysers, CA",0.04,13,",nc,",automatic,1539473042310,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539475027632,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096931
,,1000hbtn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000hbtn&format=geojson,3.191,,37.0,",us1000hbtn,",4.7,mb,,us,,"219km SSE of Saparua, Indonesia",0.78,340,",us,",reviewed,1539472814760,"M 4.7 - 219km SSE of Saparua, Indonesia",0,earthquake,",geoserve,origin,phase-data,",540.0,1539473712040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hbtn
,,37389162,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389162&format=geojson,0.005116,,57.0,",ci37389162,",0.5,ml,,ci,20.0,"10km NE of Aguanga, CA",0.25,4,",ci,",automatic,1539471831030,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539472054436,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389162
,,2018286010,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018286010&format=geojson,0.9477,,186.0,",pr2018286010,",2.77,md,,pr,7.0,"53km SE of Punta Cana, Dominican Republic",0.53,118,",pr,",reviewed,1539471621260,"M 2.8 - 53km SE of Punta Cana, Dominican Republic",0,earthquake,",geoserve,origin,phase-data,",-300.0,1539500530876,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018286010
,,37389146,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389146&format=geojson,0.01517,,76.0,",ci37389146,",0.5,ml,,ci,22.0,"9km NE of Aguanga, CA",0.15,4,",ci,",automatic,1539470934710,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539471147309,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389146
,,1000hbti,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000hbti&format=geojson,2.193,,157.0,",us1000hbti,",4.5,mb,,us,,"120km SSW of Banda Aceh, Indonesia",0.69,312,",us,",reviewed,1539470898340,"M 4.5 - 120km SSW of Banda Aceh, Indonesia",0,earthquake,",geoserve,origin,phase-data,",360.0,1539493516040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hbti
,,73096921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096921&format=geojson,0.02641,,71.0,",nc73096921,",2.13,md,,nc,25.0,"14km NW of Parkfield, CA",0.07,70,",nc,",automatic,1539470851950,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539473045436,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096921
,,20280430,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280430&format=geojson,,,,",ak20280430,",2.0,ml,,ak,,"156km WNW of Haines Junction, Canada",0.34,62,",ak,",automatic,1539470304219,"M 2.0 - 156km WNW of Haines Junction, Canada",0,earthquake,",geoserve,origin,",-480.0,1539473366902,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280430
