"date","close","volume","open","high","low"

"2019/01/18","1696.2000","5973318.0000","1712.0000","1716.2000","1691.5400"
"2019/01/17","1693.2200","4179836.0000","1680.0000","1700.1700","1677.5000"
"2019/01/16","1683.7800","6343614.0000","1684.2200","1705.0000","1675.8787"
"2019/01/15","1674.5600","5964298.0000","1632.0000","1675.1600","1626.0100"
"2019/01/14","1617.2100","5989299.0000","1615.0000","1648.2000","1595.1500"
"2019/01/11","1640.5600","4670093.0000","1640.5500","1660.2940","1636.2200"
"2019/01/10","1656.2200","6487252.0000","1641.0100","1663.2500","1621.6150"
"2019/01/09","1659.4200","6333528.0000","1652.9800","1667.7989","1641.3953"
"2019/01/08","1656.5800","8830753.0000","1664.6900","1676.6100","1616.6100"
"2019/01/07","1629.5100","7971720.0000","1602.3100","1634.5600","1589.1850"
"2019/01/04","1575.3900","9161701.0000","1530.0000","1594.0000","1518.3101"
"2019/01/03","1500.2800","6934218.0000","1520.0100","1538.0000","1497.1100"
"2019/01/02","1539.1300","7871967.0000","1465.2000","1553.3600","1460.9300"
"2018/12/31","1501.9700","6941598.0000","1510.8000","1520.7600","1487.0000"
"2018/12/28","1478.0200","8822598.0000","1473.3500","1513.4700","1449.0000"
"2018/12/27","1461.6400","9631228.0000","1454.2000","1469.0000","1390.3100"
"2018/12/26","1470.9000","10332870.0000","1368.8900","1473.1567","1363.0100"
"2018/12/24","1343.9600","7219996.0000","1346.0000","1396.0300","1307.0000"
"2018/12/21","1377.4500","13556470.0000","1464.9900","1480.0000","1363.9600"
"2018/12/20","1460.8300","9912659.0000","1484.0000","1509.5000","1432.6900"
"2018/12/19","1495.0800","8624401.0000","1543.0500","1584.5300","1483.1800"
"2018/12/18","1551.4800","6468073.0000","1540.0000","1567.5500","1523.0100"
"2018/12/17","1520.9100","8729020.0000","1566.0000","1576.1300","1505.0100"
"2018/12/14","1591.9100","6347659.0000","1638.0000","1642.5700","1585.0000"
"2018/12/13","1658.3800","5249043.0000","1680.0000","1692.1200","1641.5000"
"2018/12/12","1663.5400","6581356.0000","1669.0000","1704.9900","1660.2700"
"2018/12/11","1643.2400","6217833.0000","1678.0000","1679.4684","1619.6000"
"2018/12/10","1641.0300","7467159.0000","1623.8400","1657.9900","1590.8700"
"2018/12/07","1629.1300","7508939.0000","1705.0700","1718.9262","1625.4600"
"2018/12/06","1699.1900","8701197.0000","1614.8700","1701.0500","1609.8500"
"2018/12/04","1668.4000","8653416.0000","1756.0000","1770.3382","1665.0000"
