"date","close","volume","open","high","low"

"2019/01/18","150.0400","30631520.0000","149.7500","152.4300","148.5500"
"2019/01/17","148.3000","15480790.0000","146.9500","149.0000","146.5000"
"2019/01/16","147.5400","17977150.0000","149.0000","149.6499","146.9975"
"2019/01/15","148.9500","24036820.0000","146.0100","150.6800","145.9900"
"2019/01/14","145.3900","19864680.0000","142.0000","146.5700","141.2700"
"2019/01/11","143.8000","12780600.0000","143.1500","145.3600","142.5700"
"2019/01/10","144.2000","16057330.0000","143.0800","144.5600","140.8400"
"2019/01/09","144.2300","22131500.0000","142.9500","144.7000","141.2700"
"2019/01/08","142.5300","26191030.0000","139.8900","143.1400","139.5400"
"2019/01/07","138.0500","19988840.0000","137.5600","138.8700","135.9100"
"2019/01/04","137.9500","27973370.0000","134.0100","138.0000","133.7500"
"2019/01/03","131.7400","22448730.0000","134.6900","137.1700","131.1200"
"2019/01/02","135.6800","27967450.0000","128.9900","137.5100","128.5600"
"2018/12/31","131.0900","24552820.0000","134.4500","134.6400","129.9500"
"2018/12/28","133.2000","22351260.0000","135.3400","135.9200","132.2000"
"2018/12/27","134.5200","30305940.0000","132.4400","134.9900","129.6700"
"2018/12/26","134.1800","39526860.0000","126.0000","134.2400","125.8900"
"2018/12/24","124.0600","22066000.0000","123.1000","129.7400","123.0200"
"2018/12/21","124.9500","56624760.0000","133.3900","134.9000","123.4200"
"2018/12/20","133.4000","40202130.0000","130.7000","135.5700","130.0000"
"2018/12/19","133.2400","57110060.0000","141.2100","144.9100","132.5000"
"2018/12/18","143.6600","23678090.0000","141.0800","145.9300","139.8301"
"2018/12/17","140.1900","23838160.0000","143.0800","144.9200","138.4200"
"2018/12/14","144.0600","21773500.0000","143.3400","146.0100","142.5100"
"2018/12/13","145.0100","18090420.0000","145.5700","145.8500","143.1900"
"2018/12/12","144.5000","23349970.0000","143.0800","147.1900","142.5100"
"2018/12/11","142.0800","19429850.0000","143.8800","143.8800","141.1000"
"2018/12/10","141.8500","26315700.0000","139.6000","143.0500","139.0100"
"2018/12/07","137.4200","20583170.0000","139.2500","140.8700","136.6566"
"2018/12/06","139.6300","27625310.0000","133.8200","139.7000","133.6700"
"2018/12/04","137.9300","30227750.0000","140.7300","143.3900","137.1600"
"2018/12/03","141.0900","24697080.0000","143.0000","143.6799","140.7600"
"2018/11/30","140.6100","25716150.0000","138.2600","140.9660","137.3600"
"2018/11/29","138.6800","23935390.0000","135.9200","139.9900","135.6600"
"2018/11/28","136.7600","28701670.0000","136.2800","136.7899","131.8500"
"2018/11/27","135.0000","20477390.0000","135.7500","136.6126","133.7100"
"2018/11/26","136.3800","23459920.0000","133.0000","137.0000","132.7800"
"2018/11/23","131.7300","11886130.0000","133.6500","134.5000","131.2551"
"2018/11/21","134.8200","25365750.0000","134.4000","137.1900","134.1300"
"2018/11/20","132.4300","41888940.0000","127.0300","134.1592","126.8500"
"2018/11/19","131.5500","44051860.0000","137.6100","137.7500","131.2100"
"2018/11/16","139.5300","37139590.0000","141.0700","141.7700","137.7700"
"2018/11/15","143.8500","29803280.0000","142.3300","144.8400","140.8300"
"2018/11/14","144.2200","22019830.0000","143.7000","145.5800","141.5500"
"2018/11/13","142.1600","15062230.0000","142.0000","144.8800","141.6200"
"2018/11/12","141.5500","18387680.0000","144.4800","145.0400","140.4899"
