"date","close","volume","open","high","low"

"2019/01/18","339.1000","26583340.0000","351.9700","353.0000","336.7300"
"2019/01/17","353.1900","18238350.0000","349.5000","355.7900","346.4100"
"2019/01/16","351.3900","15345670.0000","354.0000","358.8500","348.1100"
"2019/01/15","354.6400","21133450.0000","349.6000","357.2200","347.0000"
"2019/01/14","332.9400","10460420.0000","334.2400","335.4800","329.1300"
"2019/01/11","337.5900","19458690.0000","330.9600","341.0900","328.5200"
"2019/01/10","324.6600","13398180.0000","314.5700","325.3700","312.5000"
"2019/01/09","319.9600","13307980.0000","317.7100","323.3508","313.5000"
"2019/01/08","320.2700","15279550.0000","319.9800","320.5930","308.0100"
"2019/01/07","315.3400","18586260.0000","302.1000","316.8000","301.6500"
"2019/01/04","297.5700","19299450.0000","281.8800","297.8000","278.5400"
"2019/01/03","271.2000","14946970.0000","270.2000","275.7900","264.4300"
"2019/01/02","267.6600","11612970.0000","259.2800","269.7499","256.5800"
"2018/12/31","267.6600","13496880.0000","260.1600","270.1001","260.0000"
"2018/12/28","256.0800","10972920.0000","257.9400","261.9144","249.8000"
"2018/12/27","255.5650","12124430.0000","250.1100","255.5900","240.1000"
"2018/12/26","253.6700","14203700.0000","233.9200","254.5000","231.2300"
"2018/12/24","233.8800","9547616.0000","242.0000","250.6500","233.6800"
"2018/12/21","246.3900","21359330.0000","263.8300","264.5000","241.2900"
"2018/12/20","260.5800","16769340.0000","264.6400","269.9000","251.8800"
"2018/12/19","266.7700","13767940.0000","269.9600","280.8700","263.7700"
"2018/12/18","270.9400","10330450.0000","263.3000","275.7500","263.2900"
"2018/12/17","262.8000","9616301.0000","266.5100","272.9800","261.0750"
"2018/12/14","266.8400","9908930.0000","271.8100","277.6665","265.0000"
"2018/12/13","276.0200","8373219.0000","277.6400","279.3200","271.8500"
"2018/12/12","274.8800","11439180.0000","267.6600","281.7695","266.4800"
"2018/12/11","265.3200","9823745.0000","274.0800","274.5000","262.7600"
"2018/12/10","269.7000","9582549.0000","264.1900","271.1800","260.6094"
"2018/12/07","265.1400","12454720.0000","282.4800","284.2090","263.3800"
"2018/12/06","282.8800","13043830.0000","268.3300","283.2200","267.1400"
"2018/12/04","275.3300","12762320.0000","288.1300","295.7400","274.7200"
"2018/12/03","290.3000","14098100.0000","293.1900","298.7200","284.5800"
"2018/11/30","286.1300","11835670.0000","288.0000","290.8100","283.0610"
"2018/11/29","288.7500","15016520.0000","282.3200","290.4900","275.5000"
"2018/11/28","282.6500","14773990.0000","271.9800","284.0000","263.3400"
"2018/11/27","266.6300","10956480.0000","259.2400","269.0800","256.1400"
"2018/11/26","261.4300","12490330.0000","260.5500","266.2500","253.8000"
"2018/11/23","258.8200","5245123.0000","260.1100","265.5000","256.8400"
"2018/11/21","262.1300","11014290.0000","274.4200","275.3400","261.5100"
"2018/11/20","266.9800","16676540.0000","254.6300","276.3400","250.0000"
"2018/11/19","270.6000","12486920.0000","283.7900","285.0900","269.1500"
"2018/11/16","286.2100","9084589.0000","287.1400","291.7200","281.0000"
"2018/11/15","290.0600","9874546.0000","285.5100","292.5000","282.1600"
"2018/11/14","286.7300","16807390.0000","300.4000","301.8400","278.2969"
"2018/11/13","294.4000","12117170.0000","295.0000","303.5500","289.1000"
"2018/11/12","294.0700","10886490.0000","300.0000","302.4900","290.6300"
"2018/11/09","303.4700","13463170.0000","311.0700","312.9800","298.0100"
"2018/11/08","317.9200","11008020.0000","328.0000","332.0499","316.6103"
"2018/11/07","327.5000","13308030.0000","312.9000","328.5600","311.0000"
"2018/11/06","310.8400","9659785.0000","314.7600","320.2200","305.3000"
"2018/11/05","315.4400","10247430.0000","311.1000","317.5300","303.7400"
"2018/11/02","309.1000","13356130.0000","318.0000","321.8800","308.3300"
"2018/11/01","317.3800","15031690.0000","304.5900","318.4500","296.6700"
"2018/10/31","301.7800","20092970.0000","297.7700","311.5000","295.0500"
"2018/10/30","285.8100","23622680.0000","275.5700","290.5250","271.2093"
"2018/10/29","284.8400","21662320.0000","305.2600","307.8900","275.4000"
"2018/10/26","299.8300","19591690.0000","300.5100","313.9900","292.3000"
"2018/10/25","312.8700","13285040.0000","307.1200","319.9400","305.2500"
"2018/10/24","301.8300","18926130.0000","332.2800","333.0000","300.7300"
"2018/10/23","333.1600","14880870.0000","318.0000","336.5800","316.7700"
"2018/10/22","329.5400","17081350.0000","333.1000","335.8000","320.3400"
"2018/10/19","332.6700","16696220.0000","351.0000","355.8000","332.2000"
"2018/10/18","346.7100","18067760.0000","360.6730","362.2000","346.0500"
"2018/10/17","364.7000","32564190.0000","378.3300","380.0000","356.5000"
"2018/10/16","346.4000","19670560.0000","337.2400","347.9500","330.5550"
"2018/10/15","333.1300","11177510.0000","337.6300","339.2057","326.9300"
"2018/10/12","339.5600","14806860.0000","339.5700","341.3000","328.9000"
"2018/10/11","321.1000","16020690.0000","324.9400","334.2000","315.8100"
"2018/10/10","325.8900","17063660.0000","353.5200","355.1500","325.3900"
"2018/10/09","355.7100","8730976.0000","348.4800","358.7200","347.0900"
"2018/10/08","349.1000","12367510.0000","345.1800","352.9450","338.1100"
"2018/10/05","351.3500","13512410.0000","359.7700","363.5000","343.0000"
"2018/10/04","363.6500","9052362.0000","375.8800","375.9200","360.4000"
"2018/10/03","377.0500","5791686.0000","378.5300","380.9300","374.8810"
"2018/10/02","377.1400","8620881.0000","384.3800","386.7999","373.8300"
"2018/10/01","381.4300","8339887.0000","375.8500","386.1100","375.5900"
"2018/09/28","374.1300","7104066.0000","379.2400","380.8000","373.7300"
"2018/09/27","380.7100","7295123.0000","379.8700","383.2000","376.0000"
"2018/09/26","377.8800","13540220.0000","373.5900","382.0000","370.8800"
"2018/09/25","369.4300","6775710.0000","370.2300","371.3400","364.4920"
"2018/09/24","369.6100","9284561.0000","359.0000","373.6400","354.3300"
"2018/09/21","361.1900","11894650.0000","366.5900","372.2200","360.7400"
