attributes,datatype,date,station,value
",,H,0700",TMAX,2018-10-01T00:00:00,GHCND:USC00280907,21.1
",,H,0700",TMIN,2018-10-01T00:00:00,GHCND:USC00280907,8.9
",,H,0700",TOBS,2018-10-01T00:00:00,GHCND:USC00280907,13.9
",,H,0700",TMAX,2018-10-02T00:00:00,GHCND:USC00280907,23.9
",,H,0700",TMIN,2018-10-02T00:00:00,GHCND:USC00280907,13.9
",,H,0700",TOBS,2018-10-02T00:00:00,GHCND:USC00280907,17.2
",,H,0700",TMAX,2018-10-03T00:00:00,GHCND:USC00280907,25.0
",,H,0700",TMIN,2018-10-03T00:00:00,GHCND:USC00280907,15.6
",,H,0700",TOBS,2018-10-03T00:00:00,GHCND:USC00280907,16.1
",,H,0700",TMAX,2018-10-04T00:00:00,GHCND:USC00280907,22.8
",,H,0700",TMIN,2018-10-04T00:00:00,GHCND:USC00280907,11.7
",,H,0700",TOBS,2018-10-04T00:00:00,GHCND:USC00280907,11.7
",,H,0700",TMAX,2018-10-05T00:00:00,GHCND:USC00280907,23.3
",,H,0700",TMIN,2018-10-05T00:00:00,GHCND:USC00280907,11.7
",,H,0700",TOBS,2018-10-05T00:00:00,GHCND:USC00280907,18.9
",,H,0700",TMAX,2018-10-06T00:00:00,GHCND:USC00280907,20.0
",,H,0700",TMIN,2018-10-06T00:00:00,GHCND:USC00280907,13.3
",,H,0700",TOBS,2018-10-06T00:00:00,GHCND:USC00280907,16.1
",,H,0700",TMAX,2018-10-07T00:00:00,GHCND:USC00280907,20.0
",,H,0700",TMIN,2018-10-07T00:00:00,GHCND:USC00280907,16.1
",,H,0700",TOBS,2018-10-07T00:00:00,GHCND:USC00280907,20.0
",,H,0700",TMAX,2018-10-08T00:00:00,GHCND:USC00280907,26.7
",,H,0700",TMIN,2018-10-08T00:00:00,GHCND:USC00280907,17.8
",,H,0700",TOBS,2018-10-08T00:00:00,GHCND:USC00280907,17.8
",,H,0700",TMAX,2018-10-09T00:00:00,GHCND:USC00280907,18.9
",,H,0700",TMIN,2018-10-09T00:00:00,GHCND:USC00280907,17.2
",,H,0700",TOBS,2018-10-09T00:00:00,GHCND:USC00280907,17.8
",,H,0700",TMAX,2018-10-10T00:00:00,GHCND:USC00280907,24.4
",,H,0700",TMIN,2018-10-10T00:00:00,GHCND:USC00280907,17.2
",,H,0700",TOBS,2018-10-10T00:00:00,GHCND:USC00280907,18.3
",,H,0700",TMAX,2018-10-11T00:00:00,GHCND:USC00280907,26.1
",,H,0700",TMIN,2018-10-11T00:00:00,GHCND:USC00280907,17.8
",,H,0700",TOBS,2018-10-11T00:00:00,GHCND:USC00280907,21.7
",,H,0700",TMAX,2018-10-12T00:00:00,GHCND:USC00280907,22.8
",,H,0700",TMIN,2018-10-12T00:00:00,GHCND:USC00280907,14.4
",,H,0700",TOBS,2018-10-12T00:00:00,GHCND:USC00280907,15.6
",,H,0700",TMAX,2018-10-13T00:00:00,GHCND:USC00280907,15.6
",,H,0700",TMIN,2018-10-13T00:00:00,GHCND:USC00280907,7.2
",,H,0700",TOBS,2018-10-13T00:00:00,GHCND:USC00280907,8.3
",,H,0700",TMAX,2018-10-14T00:00:00,GHCND:USC00280907,13.3
",,H,0700",TMIN,2018-10-14T00:00:00,GHCND:USC00280907,5.6
",,H,0700",TOBS,2018-10-14T00:00:00,GHCND:USC00280907,6.7
",,H,0700",TMAX,2018-10-15T00:00:00,GHCND:USC00280907,13.3
",,H,0700",TMIN,2018-10-15T00:00:00,GHCND:USC00280907,6.7
",,H,0700",TOBS,2018-10-15T00:00:00,GHCND:USC00280907,10.0
",,H,0700",TMAX,2018-10-16T00:00:00,GHCND:USC00280907,18.9
",,H,0700",TMIN,2018-10-16T00:00:00,GHCND:USC00280907,7.8
",,H,0700",TOBS,2018-10-16T00:00:00,GHCND:USC00280907,7.8
",,H,0700",TMAX,2018-10-17T00:00:00,GHCND:USC00280907,13.3
",,H,0700",TMIN,2018-10-17T00:00:00,GHCND:USC00280907,3.3
",,H,0700",TOBS,2018-10-17T00:00:00,GHCND:USC00280907,5.0
",,H,0700",TMAX,2018-10-18T00:00:00,GHCND:USC00280907,16.1
",,H,0700",TMIN,2018-10-18T00:00:00,GHCND:USC00280907,4.4
",,H,0700",TOBS,2018-10-18T00:00:00,GHCND:USC00280907,5.0
",,H,0700",TMAX,2018-10-19T00:00:00,GHCND:USC00280907,10.0
",,H,0700",TMIN,2018-10-19T00:00:00,GHCND:USC00280907,-1.1
",,H,0700",TOBS,2018-10-19T00:00:00,GHCND:USC00280907,0.0
",,H,0700",TMAX,2018-10-20T00:00:00,GHCND:USC00280907,15.0
",,H,0700",TMIN,2018-10-20T00:00:00,GHCND:USC00280907,-0.6
",,H,0700",TOBS,2018-10-20T00:00:00,GHCND:USC00280907,10.6
",,H,0700",TMAX,2018-10-21T00:00:00,GHCND:USC00280907,16.7
",,H,0700",TMIN,2018-10-21T00:00:00,GHCND:USC00280907,7.8
",,H,0700",TOBS,2018-10-21T00:00:00,GHCND:USC00280907,7.8
