Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,138.26,140.97,137.36,140.61,140.61,"25,724,800"
2018-11-29,135.92,139.99,135.66,138.68,138.68,"24,238,700"
2018-11-28,136.28,136.79,131.85,136.76,136.76,"29,847,500"
2018-11-27,135.75,136.61,133.71,135.0,135.0,"20,750,300"
2018-11-26,133.0,137.0,132.78,136.38,136.38,"24,263,600"
2018-11-23,133.65,134.5,131.26,131.73,131.73,"11,886,100"
2018-11-21,134.4,137.19,134.13,134.82,134.82,"25,469,700"
2018-11-20,127.03,134.16,126.85,132.43,132.43,"41,939,500"
2018-11-19,137.61,137.75,131.21,131.55,131.55,"44,362,700"
2018-11-16,141.07,141.77,137.77,139.53,139.53,"37,250,600"
2018-11-15,142.33,144.84,140.83,143.85,143.85,"30,320,300"
2018-11-14,143.7,145.58,141.55,144.22,144.22,"22,068,400"
2018-11-13,142.0,144.88,141.62,142.16,142.16,"15,141,700"
2018-11-12,144.48,145.04,140.49,141.55,141.55,"18,542,100"
2018-11-09,146.75,147.76,144.07,144.96,144.96,"17,326,900"
2018-11-08,150.49,150.94,146.74,147.87,147.87,"24,145,800"
2018-11-07,151.57,153.01,149.83,151.53,151.53,"21,877,400"
2018-11-06,149.31,150.97,148.0,149.94,149.94,"16,667,100"
2018-11-05,150.1,150.19,147.44,148.68,148.68,"15,971,200"
2018-11-02,151.8,154.13,148.96,150.35,150.35,"24,708,700"
2018-11-01,151.52,152.75,149.35,151.75,151.75,"25,640,800"
2018-10-31,155.0,156.4,148.96,151.79,151.79,"60,101,300"
2018-10-30,139.94,146.64,139.74,146.22,146.22,"50,528,300"
2018-10-29,148.5,148.83,139.03,142.09,142.09,"31,336,800"
2018-10-26,145.82,149.0,143.8,145.37,145.37,"31,303,300"
2018-10-25,147.73,152.21,147.0,150.95,150.95,"22,105,700"
2018-10-24,154.28,154.65,145.6,146.04,146.04,"27,744,600"
2018-10-23,151.22,154.77,150.85,154.39,154.39,"19,095,000"
2018-10-22,154.76,157.34,154.46,154.78,154.78,"15,424,700"
2018-10-19,155.86,157.35,153.55,154.05,154.05,"19,761,300"
2018-10-18,158.51,158.66,153.28,154.92,154.92,"21,675,100"
2018-10-17,159.56,160.49,157.95,159.42,159.42,"17,592,000"
2018-10-16,155.4,159.46,155.01,158.78,158.78,"19,180,100"
2018-10-15,153.32,155.57,152.55,153.52,153.52,"15,433,500"
2018-10-12,156.73,156.89,151.3,153.74,153.74,"25,293,500"
2018-10-11,150.13,154.81,149.16,153.35,153.35,"35,338,900"
2018-10-10,156.82,157.69,151.31,151.38,151.38,"30,610,000"
2018-10-09,157.69,160.59,157.42,157.9,157.9,"18,844,400"
2018-10-08,155.54,158.34,154.39,157.25,157.25,"24,046,000"
2018-10-05,159.21,160.9,156.2,157.33,157.33,"25,744,000"
2018-10-04,161.46,161.46,157.35,158.85,158.85,"25,739,600"
2018-10-03,160.0,163.66,159.53,162.43,162.43,"23,109,500"
2018-10-02,161.58,162.28,158.67,159.33,159.33,"36,031,000"
2018-10-01,163.03,165.88,161.26,162.44,162.44,"26,407,700"
2018-09-28,168.33,168.79,162.56,164.46,164.46,"34,265,600"
2018-09-27,167.55,171.77,167.21,168.84,168.84,"27,266,900"
2018-09-26,164.3,169.3,164.21,166.95,166.95,"25,252,200"
2018-09-25,161.99,165.59,161.15,164.91,164.91,"27,622,800"
2018-09-24,161.03,165.7,160.88,165.41,165.41,"19,222,800"
2018-09-21,166.64,167.25,162.81,162.93,162.93,"45,994,800"
2018-09-20,164.5,166.45,164.47,166.02,166.02,"18,824,200"
2018-09-19,160.08,163.44,159.48,163.06,163.06,"19,629,000"
2018-09-18,159.39,161.76,158.87,160.3,160.3,"22,465,200"
2018-09-17,161.92,162.06,159.77,160.58,160.58,"21,005,300"
2018-09-14,161.72,162.84,160.34,162.32,162.32,"21,770,400"
2018-09-13,162.0,163.32,160.86,161.36,161.36,"25,453,800"
2018-09-12,163.25,164.49,161.8,162.0,162.0,"24,078,100"
2018-09-11,163.94,167.19,163.72,165.94,165.94,"20,457,100"
2018-09-10,163.51,165.01,162.16,164.18,164.18,"20,197,700"
2018-09-07,160.31,164.63,160.16,163.04,163.04,"24,300,600"
2018-09-06,166.98,166.98,160.0,162.53,162.53,"41,514,800"
2018-09-05,169.49,171.13,166.67,167.18,167.18,"31,226,700"
2018-09-04,173.5,173.89,168.8,171.16,171.16,"29,809,000"
2018-08-31,177.15,177.62,174.98,175.73,175.73,"18,065,200"
2018-08-30,175.9,179.79,175.7,177.64,177.64,"24,216,500"
2018-08-29,176.3,176.79,174.75,175.9,175.9,"18,494,100"
2018-08-28,178.1,178.24,175.83,176.26,176.26,"15,910,700"
2018-08-27,175.99,178.67,175.79,177.46,177.46,"17,921,900"
2018-08-24,173.7,174.82,172.92,174.65,174.65,"14,631,600"
2018-08-23,173.09,175.55,172.83,172.9,172.9,"18,053,600"
2018-08-22,172.21,174.24,172.13,173.64,173.64,"16,894,100"
2018-08-21,172.81,174.17,171.39,172.62,172.62,"19,578,500"
2018-08-20,174.04,174.57,170.91,172.5,172.5,"21,518,000"
2018-08-17,174.5,176.22,172.04,173.8,173.8,"24,893,200"
2018-08-16,180.42,180.5,174.01,174.7,174.7,"31,351,800"
2018-08-15,179.34,180.87,174.78,179.53,179.53,"33,020,200"
2018-08-14,180.71,181.99,178.62,181.11,181.11,"19,102,000"
2018-08-13,180.1,182.61,178.9,180.05,180.05,"17,423,300"
2018-08-10,182.04,182.1,179.42,180.26,180.26,"21,500,400"
2018-08-09,185.85,186.57,182.48,183.09,183.09,"19,732,100"
2018-08-08,184.75,186.85,183.76,185.18,185.18,"22,205,200"
2018-08-07,186.5,188.3,183.72,183.81,183.81,"33,398,600"
2018-08-06,178.97,185.79,178.38,185.69,185.69,"49,716,200"
2018-08-03,177.69,178.85,176.15,177.78,177.78,"24,763,400"
2018-08-02,170.68,176.79,170.27,176.37,176.37,"32,400,000"
2018-08-01,173.93,175.08,170.9,171.65,171.65,"34,042,100"
2018-07-31,170.67,174.24,170.0,172.58,172.58,"40,356,500"
2018-07-30,175.3,175.3,166.56,171.06,171.06,"65,280,800"
2018-07-27,179.87,179.93,173.0,174.89,174.89,"60,073,700"
2018-07-26,174.89,180.13,173.75,176.26,176.26,"169,803,700"
2018-07-25,215.72,218.62,214.27,217.5,217.5,"58,954,200"
2018-07-24,215.11,216.2,212.6,214.67,214.67,"28,468,700"
2018-07-23,210.58,211.62,208.8,210.91,210.91,"16,732,000"
2018-07-20,208.85,211.5,208.5,209.94,209.94,"16,163,900"
2018-07-19,208.77,209.99,207.76,208.09,208.09,"11,350,400"
2018-07-18,209.82,210.99,208.44,209.36,209.36,"15,334,900"
2018-07-17,204.9,210.46,204.84,209.99,209.99,"15,349,900"
2018-07-16,207.5,208.72,206.84,207.23,207.23,"11,078,200"
2018-07-13,207.81,208.43,206.45,207.32,207.32,"11,486,800"
2018-07-12,203.43,207.08,203.19,206.92,206.92,"15,454,700"
2018-07-11,202.22,204.5,201.75,202.54,202.54,"12,927,400"
2018-07-10,204.5,204.91,202.26,203.54,203.54,"13,190,100"
2018-07-09,204.93,205.8,202.12,204.74,204.74,"18,149,400"
2018-07-06,198.45,203.64,197.7,203.23,203.23,"19,740,100"
2018-07-05,194.74,198.65,194.03,198.45,198.45,"19,684,200"
2018-07-03,194.55,195.4,192.52,192.73,192.73,"13,489,500"
2018-07-02,193.37,197.45,192.22,197.36,197.36,"13,961,600"
2018-06-29,197.32,197.6,193.96,194.32,194.32,"15,811,600"
2018-06-28,195.18,197.34,193.26,196.23,196.23,"18,172,400"
2018-06-27,199.18,200.75,195.8,195.84,195.84,"18,734,400"
2018-06-26,197.6,199.1,196.23,199.0,199.0,"17,897,600"
2018-06-25,200.0,200.0,193.11,196.35,196.35,"25,275,100"
2018-06-22,201.16,202.24,199.31,201.74,201.74,"17,420,200"
2018-06-21,202.76,203.39,200.09,201.5,201.5,"19,045,700"
2018-06-20,199.1,203.55,198.81,202.0,202.0,"28,230,900"
2018-06-19,196.24,197.96,193.79,197.49,197.49,"19,994,000"
2018-06-18,194.8,199.58,194.13,198.31,198.31,"16,826,000"
2018-06-15,195.79,197.07,194.64,195.85,195.85,"21,860,900"
2018-06-14,193.1,197.28,192.91,196.81,196.81,"19,120,900"
2018-06-13,192.74,194.5,191.91,192.41,192.41,"15,853,800"
2018-06-12,192.17,193.28,191.56,192.4,192.4,"11,562,700"
2018-06-11,188.81,192.6,188.8,191.54,191.54,"12,928,900"
2018-06-08,187.53,189.48,186.43,189.1,189.1,"12,677,100"
2018-06-07,190.75,190.97,186.77,188.18,188.18,"21,503,200"
