date,open,high,low,close,volume
2018-01-02,177.68,181.58,177.55,181.42,18151903
2018-01-03,181.88,184.78,181.33,184.67,16886563
2018-01-04,184.9,186.21,184.0996,184.33,13880896
2018-01-05,185.59,186.9,184.93,186.85,13574535
2018-01-08,187.2,188.9,186.33,188.28,17994726
2018-01-09,188.7,188.8,187.1,187.87,12393057
2018-01-10,186.94,187.89,185.63,187.84,10529894
2018-01-11,188.4,188.4,187.38,187.77,9588587
2018-01-12,178.06,181.48,177.4,179.37,77551299
2018-01-16,181.5,181.75,178.04,178.39,36183842
2018-01-17,179.26,179.32,175.8,177.6,27992376
2018-01-18,178.13,180.98,177.08,179.8,23304901
2018-01-19,180.85,182.37,180.1702,181.29,26826540
2018-01-22,180.8,185.39,180.41,185.37,21059464
2018-01-23,186.05,189.55,185.55,189.35,25678781
2018-01-24,189.89,190.66,186.52,186.55,24334548
2018-01-25,187.95,188.62,186.6,187.48,17377740
2018-01-26,187.75,190.0,186.81,190.0,17759212
2018-01-29,188.75,188.84,185.6301,185.98,20453172
2018-01-30,183.01,188.18,181.84,187.12,20858556
2018-01-31,188.37,189.83,185.22,186.89,43275144
2018-02-01,188.22,195.32,187.89,193.09,54211293
2018-02-02,192.04,194.21,189.98,190.28,26677484
2018-02-05,186.93,190.61,180.61,181.26,33128206
2018-02-06,178.57,185.77,177.74,185.31,37758505
2018-02-07,184.15,185.0817,179.95,180.18,27601886
2018-02-08,181.01,181.84,171.4815,171.58,38478321
2018-02-09,174.76,176.9,167.18,176.11,39887626
2018-02-12,177.06,177.545,171.84,176.41,32092133
2018-02-13,175.62,175.97,173.1,173.15,21809350
2018-02-14,173.45,179.81,173.2119,179.52,28929704
2018-02-15,180.5,180.5,176.84,179.96,20922120
2018-02-16,178.99,179.88,176.3,177.36,21015610
2018-02-20,175.77,177.95,175.11,176.01,21204921
2018-02-21,176.71,181.27,176.4,177.91,23200804
2018-02-22,178.7,180.21,177.41,178.99,18464192
2018-02-23,179.9,183.39,179.51,183.29,19007288
2018-02-26,184.58,185.66,183.2228,184.93,17599703
2018-02-27,184.45,184.7,181.46,181.46,15849806
2018-02-28,182.3,182.88,178.14,178.32,18783039
2018-03-01,179.01,180.12,174.41,175.94,23201626
2018-03-02,173.29,177.11,172.99,176.62,20025905
2018-03-05,176.2,181.1475,175.89,180.4,16189280
2018-03-06,181.78,182.38,179.11,179.78,15086784
2018-03-07,178.74,183.82,178.07,183.71,19097293
2018-03-08,183.56,184.4,181.45,182.34,17225946
2018-03-09,183.91,185.51,183.21,185.23,18526292
2018-03-12,185.23,186.1,184.22,184.76,15301229
2018-03-13,185.61,185.99,181.11,181.88,18067477
2018-03-14,182.6,184.25,181.85,184.19,16821728
2018-03-15,183.24,184.0,182.19,183.86,15645035
2018-03-16,184.49,185.33,183.41,185.09,24403438
2018-03-19,177.01,177.17,170.06,172.56,88140060
2018-03-20,167.47,170.2,161.95,168.15,129851768
2018-03-21,164.8,173.4,163.3,169.39,106598834
2018-03-22,166.13,170.27,163.72,164.89,73742979
2018-03-23,165.44,167.1,159.02,159.39,53609706
2018-03-26,160.82,161.1,149.02,160.06,126116634
2018-03-27,156.31,162.85,150.75,152.22,79116995
2018-03-28,151.65,155.88,150.8,153.03,60029170
2018-03-29,155.15,161.42,154.14,159.79,59434293
2018-04-02,157.81,159.2,154.111,155.39,36795991
2018-04-03,156.55,157.39,150.81,156.11,42543865
2018-04-04,152.025,155.56,150.51,155.1,49885584
2018-04-05,161.56,161.575,156.65,159.34,41449609
2018-04-06,157.73,161.42,156.81,157.2,41644812
2018-04-09,157.82,160.53,156.04,157.93,34915227
2018-04-10,157.93,165.98,157.01,165.04,58947041
2018-04-11,165.36,168.65,163.25,166.32,56144633
2018-04-12,166.98,167.45,163.1,163.87,38262956
2018-04-13,164.58,165.7036,163.77,164.52,19990561
2018-04-16,165.7249,165.78,163.39,164.83,18119435
2018-04-17,165.83,169.0,165.66,168.66,22743029
2018-04-18,166.88,168.12,165.77,166.36,20969568
2018-04-19,166.2,168.33,165.2,168.1,22234961
2018-04-20,167.79,168.43,165.81,166.28,19119438
2018-04-23,167.27,168.45,165.09,165.84,23088102
2018-04-24,165.43,166.1,158.19,159.69,35079926
2018-04-25,160.1448,161.06,156.19,159.69,41083581
2018-04-26,173.22,176.27,170.8,174.16,77556934
2018-04-27,176.81,177.1,172.6,173.59,29804657
2018-04-30,173.79,175.72,171.71,172.0,20750478
