date,open,high,low,close,volume
2019-05-20 09-30,181.62,181.62,181.62,181.62,159049.0
2019-05-20 09-31,182.61,182.61,182.61,182.61,468017.0
2019-05-20 09-32,182.7458,182.7458,182.7458,182.7458,97258.0
2019-05-20 09-33,182.95,182.95,182.95,182.95,43961.0
2019-05-20 09-34,183.06,183.06,183.06,183.06,79562.0
2019-05-20 09-35,183.05,183.05,183.05,183.05,68116.0
2019-05-20 09-36,182.6,182.6,182.6,182.6,62710.0
2019-05-20 09-37,182.4,182.4,182.4,182.4,49433.0
2019-05-20 09-38,182.25,182.25,182.25,182.25,52004.0
2019-05-20 09-39,182.3,182.3,182.3,182.3,88804.0
2019-05-20 09-40,181.99,181.99,181.99,181.99,80306.0
2019-05-20 09-41,182.4435,182.4435,182.4435,182.4435,63699.0
2019-05-20 09-42,182.6524,182.6524,182.6524,182.6524,62493.0
2019-05-20 09-43,182.37,182.37,182.37,182.37,33342.0
2019-05-20 09-44,182.33,182.33,182.33,182.33,30772.0
2019-05-20 09-45,182.56,182.56,182.56,182.56,34683.0
2019-05-20 09-46,182.82,182.82,182.82,182.82,38972.0
2019-05-20 09-47,182.74599999999998,182.74599999999998,182.74599999999998,182.74599999999998,16941.0
2019-05-20 09-48,182.38,182.38,182.38,182.38,25334.0
2019-05-20 09-49,182.3,182.3,182.3,182.3,25128.0
2019-05-20 09-50,181.82,181.82,181.82,181.82,60323.0
2019-05-20 09-51,181.9956,181.9956,181.9956,181.9956,30921.0
2019-05-20 09-52,182.1465,182.1465,182.1465,182.1465,26181.0
2019-05-20 09-53,182.08,182.08,182.08,182.08,26531.0
2019-05-20 09-54,182.15,182.15,182.15,182.15,30523.0
2019-05-20 09-55,182.54,182.54,182.54,182.54,45553.0
2019-05-20 09-56,182.77,182.77,182.77,182.77,33534.0
2019-05-20 09-57,182.76,182.76,182.76,182.76,37147.0
2019-05-20 09-58,182.8,182.8,182.8,182.8,43890.0
2019-05-20 09-59,182.935,182.935,182.935,182.935,44283.0
2019-05-20 10-00,182.74,182.74,182.74,182.74,53492.0
2019-05-20 10-01,182.6,182.6,182.6,182.6,43487.0
2019-05-20 10-02,182.78,182.78,182.78,182.78,28952.0
2019-05-20 10-03,182.84,182.84,182.84,182.84,123396.0
2019-05-20 10-04,183.01,183.01,183.01,183.01,42094.0
2019-05-20 10-05,183.17,183.17,183.17,183.17,44751.0
2019-05-20 10-06,183.23,183.23,183.23,183.23,53801.0
2019-05-20 10-07,183.26,183.26,183.26,183.26,47173.0
2019-05-20 10-08,183.25099999999998,183.25099999999998,183.25099999999998,183.25099999999998,36919.0
2019-05-20 10-09,183.4,183.4,183.4,183.4,29227.0
2019-05-20 10-10,183.03,183.03,183.03,183.03,35664.0
2019-05-20 10-11,182.98,182.98,182.98,182.98,23538.0
2019-05-20 10-12,183.03,183.03,183.03,183.03,39288.0
2019-05-20 10-13,183.085,183.085,183.085,183.085,31760.0
2019-05-20 10-14,183.18,183.18,183.18,183.18,21634.0
2019-05-20 10-15,183.14,183.14,183.14,183.14,25605.0
2019-05-20 10-16,183.12,183.12,183.12,183.12,8678.0
2019-05-20 10-17,183.13,183.13,183.13,183.13,22431.0
2019-05-20 10-18,183.19,183.19,183.19,183.19,20131.0
2019-05-20 10-19,183.11,183.11,183.11,183.11,11458.0
2019-05-20 10-20,183.13,183.13,183.13,183.13,22749.0
2019-05-20 10-21,183.04,183.04,183.04,183.04,48458.0
2019-05-20 10-22,183.17,183.17,183.17,183.17,10678.0
2019-05-20 10-23,183.36,183.36,183.36,183.36,24700.0
2019-05-20 10-24,183.4491,183.4491,183.4491,183.4491,23421.0
2019-05-20 10-25,183.84,183.84,183.84,183.84,75658.0
2019-05-20 10-26,183.9083,183.9083,183.9083,183.9083,24240.0
2019-05-20 10-27,183.7607,183.7607,183.7607,183.7607,30018.0
2019-05-20 10-28,183.75,183.75,183.75,183.75,45131.0
2019-05-20 10-29,183.66,183.66,183.66,183.66,19249.0
2019-05-20 10-30,183.61,183.61,183.61,183.61,30982.0
2019-05-20 10-31,183.69,183.69,183.69,183.69,17668.0
2019-05-20 10-32,183.7999,183.7999,183.7999,183.7999,10165.0
2019-05-20 10-33,183.87,183.87,183.87,183.87,19861.0
2019-05-20 10-34,184.14,184.14,184.14,184.14,53738.0
2019-05-20 10-35,184.18,184.18,184.18,184.18,27708.0
2019-05-20 10-36,184.09099999999998,184.09099999999998,184.09099999999998,184.09099999999998,20658.0
2019-05-20 10-37,183.93,183.93,183.93,183.93,18476.0
2019-05-20 10-38,183.92,183.92,183.92,183.92,30764.0
2019-05-20 10-39,183.89,183.89,183.89,183.89,9535.0
2019-05-20 10-40,183.98,183.98,183.98,183.98,8618.0
2019-05-20 10-41,183.91,183.91,183.91,183.91,20950.0
2019-05-20 10-42,183.94,183.94,183.94,183.94,6320.0
2019-05-20 10-43,183.87,183.87,183.87,183.87,9240.0
2019-05-20 10-44,183.53,183.53,183.53,183.53,41218.0
2019-05-20 10-45,183.6015,183.6015,183.6015,183.6015,17883.0
2019-05-20 10-46,183.55,183.55,183.55,183.55,23728.0
2019-05-20 10-47,183.63,183.63,183.63,183.63,10039.0
2019-05-20 10-48,183.6001,183.6001,183.6001,183.6001,7426.0
2019-05-20 10-49,183.4462,183.4462,183.4462,183.4462,21602.0
2019-05-20 10-50,183.4281,183.4281,183.4281,183.4281,31268.0
2019-05-20 10-51,183.44,183.44,183.44,183.44,24285.0
2019-05-20 10-52,183.44,183.44,183.44,183.44,19225.0
2019-05-20 10-53,183.4443,183.4443,183.4443,183.4443,7545.0
2019-05-20 10-54,183.38,183.38,183.38,183.38,16128.0
2019-05-20 10-55,183.69,183.69,183.69,183.69,20393.0
2019-05-20 10-56,183.75,183.75,183.75,183.75,10781.0
2019-05-20 10-57,183.68200000000002,183.68200000000002,183.68200000000002,183.68200000000002,14899.0
2019-05-20 10-58,183.82,183.82,183.82,183.82,12488.0
2019-05-20 10-59,183.83,183.83,183.83,183.83,13115.0
2019-05-20 11-00,183.8811,183.8811,183.8811,183.8811,29754.0
2019-05-20 11-01,183.63,183.63,183.63,183.63,24382.0
2019-05-20 11-02,183.405,183.405,183.405,183.405,23618.0
2019-05-20 11-03,183.37,183.37,183.37,183.37,31186.0
2019-05-20 11-04,183.29,183.29,183.29,183.29,27970.0
2019-05-20 11-05,183.27,183.27,183.27,183.27,22732.0
2019-05-20 11-06,183.35,183.35,183.35,183.35,15946.0
2019-05-20 11-07,183.26,183.26,183.26,183.26,22341.0
