id,name,latitude,longitude,elevation
GHCND:US1CTFR0022,"STAMFORD 2.6 SSW, CT US",41.0641,-73.577,36.6
GHCND:US1CTFR0039,"STAMFORD 4.2 S, CT US",41.0377883911133,-73.5681762695313,6.4
GHCND:US1NJBG0001,"BERGENFIELD 0.3 SW, NJ US",40.921298,-74.001983,20.1
GHCND:US1NJBG0002,"SADDLE BROOK TWP 0.6 E, NJ US",40.902694,-74.083358,16.8
GHCND:US1NJBG0003,"TENAFLY 1.3 W, NJ US",40.91467,-73.9775,21.6
GHCND:US1NJBG0005,"WESTWOOD 0.8 ESE, NJ US",40.983040649,-74.01585817337,15.8
GHCND:US1NJBG0006,"RAMSEY 0.6 E, NJ US",41.058611,-74.134068,112.2
GHCND:US1NJBG0008,"SADDLE BROOK TWP 0.3 NNE, NJ US",40.907116,-74.093406,12.8
GHCND:US1NJBG0010,"RIVER VALE TWP 1.5 S, NJ US",40.99145,-74.012348,9.4
GHCND:US1NJBG0011,"NORTH ARLINGTON 0.7 NE, NJ US",40.794355,-74.119043,8.2
GHCND:US1NJBG0012,"WOOD RIDGE 0.6 SE, NJ US",40.842,-74.083,14.0
GHCND:US1NJBG0013,"RUTHERFORD 1.2 N, NJ US",40.8373,-74.1065,26.5
GHCND:US1NJBG0015,"NORTH ARLINGTON 0.7 WNW, NJ US",40.791492,-74.13979,17.7
GHCND:US1NJBG0017,"GLEN ROCK 0.7 SSE, NJ US",40.95109,-74.118264,28.0
GHCND:US1NJBG0018,"PALISADES PARK 0.2 WNW, NJ US",40.848094,-74.000247,21.3
GHCND:US1NJBG0020,"PARAMUS 1.8 NNW, NJ US",40.968162,-74.090223,25.0
GHCND:US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.01905,-74.233383,149.4
GHCND:US1NJBG0029,"OAKLAND 0.2 WNW, NJ US",41.032778,-74.244991,73.8
GHCND:US1NJBG0030,"OAKLAND 1.0 ESE, NJ US",41.025324,-74.223632,109.4
GHCND:US1NJBG0031,"DEMAREST 0.6 NNW, NJ US",40.962786,-73.959987,14.3
GHCND:US1NJBG0033,"WOOD RIDGE 0.6 NNW, NJ US",40.8535946,-74.0942817,24.1
GHCND:US1NJBG0037,"GLEN ROCK 0.4 WNW, NJ US",40.9613609313965,-74.1327743530273,27.1
GHCND:US1NJBG0039,"RIVER EDGE 0.4 NNE, NJ US",40.932076,-74.035372,23.2
GHCND:US1NJBG0044,"TENAFLY 1.6 NW, NJ US",40.93188,-73.97818,43.9
GHCND:US1NJBG0056,"FAIR LAWN 1.2 SE, NJ US",40.9217,-74.1044,19.5
GHCND:US1NJES0001,"LIVINGSTON TWP 0.4 SSW, NJ US",40.7799077524509,-74.3319296836853,83.2
GHCND:US1NJES0004,"NORTH CALDWELL 0.6 SSE, NJ US",40.857642,-74.252278,150.9
GHCND:US1NJES0010,"VERONA TWP 0.7 SW, NJ US",40.82547,-74.25308,124.1
GHCND:US1NJES0011,"CEDAR GROVE TWP 0.9 NE, NJ US",40.864825,-74.215732,101.8
GHCND:US1NJES0015,"MONTCLAIR 2.2 NNE, NJ US",40.856542,-74.200357,113.4
GHCND:US1NJES0018,"MAPLEWOOD TWP 0.9 SE, NJ US",40.724466,-74.259542,72.5
GHCND:US1NJES0019,"WEST CALDWELL TWP 1.3 NE, NJ US",40.8615,-74.2775,81.4
GHCND:US1NJES0020,"BLOOMFIELD 1.7 S, NJ US",40.785,-74.1885,
GHCND:US1NJES0021,"VERONA TWP 0.6 WSW, NJ US",40.830493927002,-74.2538681030273,135.6
GHCND:US1NJES0024,"CEDAR GROVE TWP 0.4 W, NJ US",40.855695,-74.235564,108.5
GHCND:US1NJES0027,"MILLBURN TWP 1.6 SE, NJ US",40.723141,-74.303177,43.9
GHCND:US1NJES0029,"MONTCLAIR 0.9 WSW, NJ US",40.82164,-74.227008,146.0
GHCND:US1NJES0031,"MONTCLAIR 0.7 N, NJ US",40.835343,-74.208967,96.0
GHCND:US1NJES0040,"VERONA TWP 0.8 W, NJ US",40.8326,-74.2583,161.2
GHCND:US1NJES0041,"LIVINGSTON TWP 2.0 NNE, NJ US",40.810078,-74.309464,86.6
GHCND:US1NJHD0002,"KEARNY 1.7 NW, NJ US",40.772892,-74.140926,29.0
GHCND:US1NJMD0001,"PERTH AMBOY 1.2 WNW, NJ US",40.524461,-74.2921,31.4
GHCND:US1NJMD0011,"SOUTH AMBOY 0.9 W, NJ US",40.4871095530118,-74.2950063943863,15.8
GHCND:US1NJMD0023,"SOUTH PLAINFIELD 0.8 ENE, NJ US",40.578894,-74.401399,22.3
GHCND:US1NJMD0031,"OLD BRIDGE TWP 3.3 N, NJ US",40.451308,-74.312877,33.2
GHCND:US1NJMD0033,"SOUTH PLAINFIELD 0.9 NW, NJ US",40.5835267,-74.428423,18.9
GHCND:US1NJMD0038,"EDISON TWP 1.9 N, NJ US",40.5628918,-74.3669021,35.4
GHCND:US1NJMD0039,"EAST BRUNSWICK TWP 3.3 NNE, NJ US",40.473863,-74.400046,16.2
GHCND:US1NJMD0043,"WOODBRIDGE TWP 1.1 ESE, NJ US",40.5554,-74.274,4.0
GHCND:US1NJMD0044,"SOUTH PLAINFIELD 0.7 NNW, NJ US",40.583514,-74.419476,18.0
GHCND:US1NJMD0045,"WOODBRIDGE TWP 1.1 NNE, NJ US",40.5759108,-74.2846869,21.6
GHCND:US1NJMD0050,"WOODBRIDGE TWP 3.0 NNW, NJ US",40.6023256,-74.3102058,21.9
GHCND:US1NJMD0055,"EDISON TWP 1.4 N, NJ US",40.555778503418,-74.3684387207031,41.8
GHCND:US1NJMD0058,"SAYREVILLE 1.3 ESE, NJ US",40.456515,-74.299361,41.8
GHCND:US1NJMD0060,"MATAWAN 1.1 WSW, NJ US",40.4056892,-74.2549286,21.3
GHCND:US1NJMD0062,"OLD BRIDGE TWP 5.1 NE, NJ US",40.45623,-74.241325,7.6
GHCND:US1NJMD0066,"SOUTH PLAINFIELD 0.7 NNE, NJ US",40.583541,-74.410003,22.3
GHCND:US1NJMD0070,"NEW BRUNSWICK 1.8 E, NJ US",40.484742,-74.41031,19.2
GHCND:US1NJMD0071,"SOUTH PLAINFIELD 1.8 NE, NJ US",40.59638889,-74.39472222,31.7
GHCND:US1NJMD0073,"CARTERET 0.6 WSW, NJ US",40.581743,-74.238792,9.1
GHCND:US1NJMD0074,"HIGHLAND PARK 0.5 E, NJ US",40.50039,-74.41942,36.3
GHCND:US1NJMD0082,"METUCHEN 0.5 E, NJ US",40.5419,-74.35374,32.9
GHCND:US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",40.50542,-74.42978,14.9
GHCND:US1NJMD0088,"METUCHEN 3.3 N, NJ US",40.58884,-74.37212,27.4
