ticker,date,close,volume,open,high,low
AAPL,2018-01-18,179.26,31087330,179.37,180.1,178.25
AMZN,2018-01-18,1293.32,4021640,1293.95,1304.6,1284.02
FB,2018-01-18,179.8,23244010,178.13,180.98,177.08
GOOG,2018-01-18,1129.79,1194943,1131.41,1132.51,1117.5
NFLX,2018-01-18,220.33,8212094,220.34,220.58,216.55
AAPL,2018-01-19,178.46,31306390,178.61,179.58,177.41
AMZN,2018-01-19,1294.58,4455108,1312.0,1313.0,1292.99
FB,2018-01-19,181.29,26592440,180.85,182.37,180.1702
GOOG,2018-01-19,1137.51,1390118,1131.83,1137.86,1128.3
NFLX,2018-01-19,220.46,10356210,222.75,223.49,218.5
AAPL,2018-01-22,177.0,27052000,177.3,177.78,176.6016
AMZN,2018-01-22,1327.31,4126235,1297.17,1327.45,1296.6636
FB,2018-01-22,185.37,21005910,180.8,185.39,180.41
GOOG,2018-01-22,1155.81,1616120,1137.49,1159.88,1135.1101
NFLX,2018-01-22,227.58,17128090,222.0,227.785,221.2
AAPL,2018-01-23,177.04,32395870,177.3,179.44,176.82
AMZN,2018-01-23,1362.54,5130673,1338.09,1364.9,1337.34
FB,2018-01-23,189.35,25535950,186.05,189.55,185.55
GOOG,2018-01-23,1169.97,1309862,1159.85,1171.6266,1158.75
NFLX,2018-01-23,250.29,27637170,255.05,257.71,248.02
AAPL,2018-01-24,174.22,51368540,177.25,177.3,173.2
AMZN,2018-01-24,1357.51,6781297,1374.82,1388.16,1338.0
FB,2018-01-24,186.55,23423200,189.89,190.66,186.52
GOOG,2018-01-24,1164.24,1382904,1177.33,1179.86,1161.05
NFLX,2018-01-24,261.3,17193780,250.88,261.71,249.31099999999998
AAPL,2018-01-25,171.11,41438280,174.505,174.95,170.53
AMZN,2018-01-25,1377.95,4741473,1368.0,1378.34,1357.62
FB,2018-01-25,187.48,17329360,187.95,188.62,186.6
GOOG,2018-01-25,1170.37,1461518,1172.53,1175.94,1162.76
NFLX,2018-01-25,269.7,15311560,263.0,272.3,260.23
AAPL,2018-01-26,171.51,39075250,172.0,172.0,170.06
