date,PRCP
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,20.8
2018-10-04,0.0
2018-10-05,0.8
2018-10-06,0.0
2018-10-07,0.8
2018-10-08,0.0
2018-10-09,0.8
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,23.1
2018-10-13,1.0
2018-10-14,2.0
2018-10-15,1.0
2018-10-16,1.5
2018-10-17,0.0
2018-10-18,0.0
2018-10-19,0.0
2018-10-20,1.3
2018-10-21,0.3
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-27,14.7
2018-10-28,13.2
2018-10-29,2.5
2018-10-30,0.0
2018-10-31,0.0
2018-11-01,0.0
2018-11-02,0.3
2018-11-03,17.5
2018-11-04,0.3
2018-11-05,0.0
2018-11-06,9.4
2018-11-07,19.8
2018-11-10,22.1
2018-11-11,0.0
2018-11-13,19.8
2018-11-14,6.4
2018-11-16,37.1
2018-11-17,0.0
2018-11-20,0.0
2018-11-22,0.5
2018-11-25,35.8
