mag,magType,time,place,tsunami,parsed_place
1.35,ml,1539475168010,"9km NE of Aguanga, CA",0,California
1.29,ml,1539475129610,"9km NE of Aguanga, CA",0,California
3.42,ml,1539475062610,"8km NE of Aguanga, CA",0,California
0.44,ml,1539474978070,"9km NE of Aguanga, CA",0,California
2.16,md,1539474716050,"10km NW of Avenal, CA",0,California
2.61,md,1539473686440,"55km ESE of Punta Cana, Dominican Republic",0,Dominican Republic
1.7,ml,1539473176017,"105km W of Talkeetna, Alaska",0,Alaska
1.13,md,1539473060280,"10km NW of Parkfield, CA",0,California
0.92,md,1539473042310,"6km NW of The Geysers, CA",0,California
4.7,mb,1539472814760,"219km SSE of Saparua, Indonesia",0,Indonesia
0.5,ml,1539471831030,"10km NE of Aguanga, CA",0,California
2.77,md,1539471621260,"53km SE of Punta Cana, Dominican Republic",0,Dominican Republic
0.5,ml,1539470934710,"9km NE of Aguanga, CA",0,California
4.5,mb,1539470898340,"120km SSW of Banda Aceh, Indonesia",0,Indonesia
2.13,md,1539470851950,"14km NW of Parkfield, CA",0,California
2.0,ml,1539470304219,"156km WNW of Haines Junction, Canada",0,Canada
0.72,md,1539470237230,"2km N of The Geysers, CA",0,California
1.69,md,1539468879730,"2km S of Maricao, Puerto Rico",0,Puerto Rico
2.0,ml,1539468687232,"57km SSW of Kaktovik, Alaska",0,Alaska
0.92,ml,1539468671340,"4km ENE of Calimesa, CA",0,California
2.82,md,1539467908560,"61km N of Tierras Nuevas Poniente, Puerto Rico",0,Puerto Rico
1.7,ml,1539467905609,"64km SSW of Salcha, Alaska",0,Alaska
0.81,ml,1539467508540,"4km NW of San Clemente, CA",0,California
0.55,ml,1539466580200,"27km E of Coso Junction, CA",0,California
0.67,ml,1539466409430,"6km SSE of Idyllwild, CA",0,California
2.1,md,1539466356170,"14km NW of Parkfield, CA",0,California
2.8,ml,1539466288954,"111km NNW of Arctic Village, Alaska",0,Alaska
1.1,ml,1539465520462,"43km S of Redoubt Volcano, Alaska",0,Alaska
1.8,ml,1539464607849,"86km SW of Anchor Point, Alaska",0,Alaska
0.93,md,1539464503490,"15km NW of Parkfield, CA",0,California
1.52,ml,1539463322040,"2km WNW of Manhattan, Montana",0,Montana
2.3,ml,1539462724148,"79km SW of Kaktovik, Alaska",0,Alaska
1.3,ml,1539461038285,"13km E of Hawthorne, Nevada",0,Nevada
1.7,ml,1539460963493,"45km S of Kaktovik, Alaska",0,Alaska
2.2,ml,1539460430189,"83km W of Anchor Point, Alaska",0,Alaska
1.9,ml,1539460155900,"60km S of Cantwell, Alaska",0,Alaska
5.0,mww,1539459504090,"165km NNW of Flying Fish Cove, Christmas Island",1,Christmas Island
1.6,ml,1539459197502,"95km N of College, Alaska",0,Alaska
2.12,ml,1539458974490,"7km SW of Volcano, Hawaii",0,Hawaii
-0.1,ml,1539458844506,"6km NW of Lemmon Valley, Nevada",0,Nevada
1.31,ml,1539458726910,"10km ESE of Lincoln, Montana",0,Montana
0.2,ml,1539458665088,"6km NW of Lemmon Valley, Nevada",0,Nevada
0.86,ml,1539457997460,"12km N of Borrego Springs, CA",0,California
2.92,md,1539457653730,"67km NNE of Arecibo, Puerto Rico",0,Puerto Rico
0.32,ml,1539457563160,"10km NE of Aguanga, CA",0,California
1.84,md,1539457145410,"23km SSW of South Dos Palos, CA",0,California
1.9,ml,1539457095255,"13km W of Y, Alaska",0,Alaska
1.14,md,1539455748700,"6km NNW of Pinnacles, CA",0,California
0.9,ml,1539455306730,"42km WSW of Tonopah, Nevada",0,Nevada
-0.1,ml,1539455017464,"6km NW of Lemmon Valley, Nevada",0,Nevada
2.4,ml,1539454521999,"65km SSW of Kaktovik, Alaska",0,Alaska
2.2,ml,1539454417376,"78km SW of Kaktovik, Alaska",0,Alaska
2.5,ml,1539454164309,"61km S of Cantwell, Alaska",0,Alaska
0.2,ml,1539453350904,"61km N of Pahrump, Nevada",0,Nevada
1.46,ml,1539453348990,"4km SSW of Carpinteria, CA",0,California
4.6,mb,1539453241120,"242km NNW of Farallon de Pajaros, Northern Mariana Islands",0,Northern Mariana Islands
2.21,ml,1539453156220,"2km WNW of Manhattan, Montana",0,Montana
2.1,ml,1539452972561,"109km NW of Arctic Village, Alaska",0,Alaska
1.83,ml,1539452579990,"17km SE of Volcano, Hawaii",0,Hawaii
2.15,ml,1539452346280,"2km WNW of Big Bear City, CA",0,California
1.44,md,1539451650330,"5km WNW of San Juan Bautista, CA",0,California
2.07,ml,1539450846660,"30km NNW of Santa Barbara Is., CA",0,California
0.86,md,1539450775480,"6km NNW of Pinnacles, CA",0,California
0.1,ml,1539450455710,"6km NW of Lemmon Valley, Nevada",0,Nevada
2.0,ml,1539450453274,"131km WNW of Arctic Village, Alaska",0,Alaska
2.76,md,1539449830890,"6km NNW of Pinnacles, CA",0,California
2.24,ml,1539448516170,"22km E of Honaunau-Napoopoo, Hawaii",0,Hawaii
4.6,mb,1539448501800,"160km NNW of Nago, Japan",0,Japan
1.14,ml,1539446932070,"1km SE of Placentia, CA",0,California
1.45,ml,1539446803660,"6km NNE of Banning, CA",0,California
0.35,md,1539446197020,"18km NW of Parkfield, CA",0,California
0.7,ml,1539445657953,"36km ENE of Big Pine, California",0,California
0.7,ml,1539445449797,"58km NNE of Pahrump, Nevada",0,Nevada
2.43,md,1539445438030,"70km N of Tierras Nuevas Poniente, Puerto Rico",0,Puerto Rico
1.7,ml,1539444927723,"74km NW of Larsen Bay, Alaska",0,Alaska
1.12,md,1539444768320,"6km WNW of The Geysers, CA",0,California
1.5,ml,1539444762403,"77km NNW of New Allakaket, Alaska",0,Alaska
0.62,ml,1539444416080,"11km NE of Aguanga, CA",0,California
0.5,ml,1539444377073,"59km NNE of Pahrump, Nevada",0,Nevada
0.1,ml,1539443271217,"13km S of Reno, Nevada",0,Nevada
2.01,ml,1539443097270,"21km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
1.4,ml,1539442812757,"93km ENE of Kobuk, Alaska",0,Alaska
1.7,ml,1539442808570,"123km NNW of Arctic Village, Alaska",0,Alaska
0.83,md,1539442092640,"5km NNW of The Geysers, CA",0,California
1.1,ml,1539442019022,"14km NE of East Quincy, California",0,California
1.4,ml,1539440518313,"41km NNW of North Nenana, Alaska",0,Alaska
1.4,ml,1539440502602,"28km N of North Nenana, Alaska",0,Alaska
0.0,ml,1539439366287,"57km SSW of Beatty, Nevada",0,Nevada
1.8,ml,1539439062925,"11km WNW of Sutton-Alpine, Alaska",0,Alaska
2.0,ml,1539438722986,"50km E of Cantwell, Alaska",0,Alaska
3.22,ml,1539438366550,"6km NNW of Pinnacles, CA",0,California
