alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.35,ml,"9km NE of Aguanga, CA",1539475168010,"M 1.4 - 9km NE of Aguanga, CA",0,earthquake,California
,,1.29,ml,"9km NE of Aguanga, CA",1539475129610,"M 1.3 - 9km NE of Aguanga, CA",0,earthquake,California
,28.0,3.42,ml,"8km NE of Aguanga, CA",1539475062610,"M 3.4 - 8km NE of Aguanga, CA",0,earthquake,California
,,0.44,ml,"9km NE of Aguanga, CA",1539474978070,"M 0.4 - 9km NE of Aguanga, CA",0,earthquake,California
,,2.16,md,"10km NW of Avenal, CA",1539474716050,"M 2.2 - 10km NW of Avenal, CA",0,earthquake,California
,,2.61,md,"55km ESE of Punta Cana, Dominican Republic",1539473686440,"M 2.6 - 55km ESE of Punta Cana, Dominican Republic",0,earthquake,Dominican Republic
,,1.7,ml,"105km W of Talkeetna, Alaska",1539473176017,"M 1.7 - 105km W of Talkeetna, Alaska",0,earthquake,Alaska
,,1.13,md,"10km NW of Parkfield, CA",1539473060280,"M 1.1 - 10km NW of Parkfield, CA",0,earthquake,California
,,0.92,md,"6km NW of The Geysers, CA",1539473042310,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake,California
,,4.7,mb,"219km SSE of Saparua, Indonesia",1539472814760,"M 4.7 - 219km SSE of Saparua, Indonesia",0,earthquake,Indonesia
,,0.5,ml,"10km NE of Aguanga, CA",1539471831030,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake,California
,,2.77,md,"53km SE of Punta Cana, Dominican Republic",1539471621260,"M 2.8 - 53km SE of Punta Cana, Dominican Republic",0,earthquake,Dominican Republic
,,0.5,ml,"9km NE of Aguanga, CA",1539470934710,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake,California
,,4.5,mb,"120km SSW of Banda Aceh, Indonesia",1539470898340,"M 4.5 - 120km SSW of Banda Aceh, Indonesia",0,earthquake,Indonesia
,,2.13,md,"14km NW of Parkfield, CA",1539470851950,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake,California
,,2.0,ml,"156km WNW of Haines Junction, Canada",1539470304219,"M 2.0 - 156km WNW of Haines Junction, Canada",0,earthquake,Canada
,,0.72,md,"2km N of The Geysers, CA",1539470237230,"M 0.7 - 2km N of The Geysers, CA",0,earthquake,California
,,1.69,md,"2km S of Maricao, Puerto Rico",1539468879730,"M 1.7 - 2km S of Maricao, Puerto Rico",0,earthquake,Puerto Rico
,,2.0,ml,"57km SSW of Kaktovik, Alaska",1539468687232,"M 2.0 - 57km SSW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.92,ml,"4km ENE of Calimesa, CA",1539468671340,"M 0.9 - 4km ENE of Calimesa, CA",0,earthquake,California
,,2.82,md,"61km N of Tierras Nuevas Poniente, Puerto Rico",1539467908560,"M 2.8 - 61km N of Tierras Nuevas Poniente, Puerto Rico",0,earthquake,Puerto Rico
,,1.7,ml,"64km SSW of Salcha, Alaska",1539467905609,"M 1.7 - 64km SSW of Salcha, Alaska",0,earthquake,Alaska
,,0.81,ml,"4km NW of San Clemente, CA",1539467508540,"M 0.8 - 4km NW of San Clemente, CA",0,earthquake,California
,,0.55,ml,"27km E of Coso Junction, CA",1539466580200,"M 0.6 - 27km E of Coso Junction, CA",0,earthquake,California
,,0.67,ml,"6km SSE of Idyllwild, CA",1539466409430,"M 0.7 - 6km SSE of Idyllwild, CA",0,earthquake,California
,,2.1,md,"14km NW of Parkfield, CA",1539466356170,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake,California
,,2.8,ml,"111km NNW of Arctic Village, Alaska",1539466288954,"M 2.8 - 111km NNW of Arctic Village, Alaska",0,earthquake,Alaska
,,1.1,ml,"43km S of Redoubt Volcano, Alaska",1539465520462,"M 1.1 - 43km S of Redoubt Volcano, Alaska",0,earthquake,Alaska
,,1.8,ml,"86km SW of Anchor Point, Alaska",1539464607849,"M 1.8 - 86km SW of Anchor Point, Alaska",0,earthquake,Alaska
,,0.93,md,"15km NW of Parkfield, CA",1539464503490,"M 0.9 - 15km NW of Parkfield, CA",0,earthquake,California
,,1.52,ml,"2km WNW of Manhattan, Montana",1539463322040,"M 1.5 - 2km WNW of Manhattan, Montana",0,earthquake,Montana
,,2.3,ml,"79km SW of Kaktovik, Alaska",1539462724148,"M 2.3 - 79km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,1.3,ml,"13km E of Hawthorne, Nevada",1539461038285,"M 1.3 - 13km E of Hawthorne, Nevada",0,earthquake,Nevada
