alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.35,ml,"9km NE of Aguanga, CA",2018-10-13 23:59:28.010,"M 1.4 - 9km NE of Aguanga, CA",0,earthquake, CA
,,1.29,ml,"9km NE of Aguanga, CA",2018-10-13 23:58:49.610,"M 1.3 - 9km NE of Aguanga, CA",0,earthquake, CA
,28.0,3.42,ml,"8km NE of Aguanga, CA",2018-10-13 23:57:42.610,"M 3.4 - 8km NE of Aguanga, CA",0,earthquake, CA
,,0.44,ml,"9km NE of Aguanga, CA",2018-10-13 23:56:18.070,"M 0.4 - 9km NE of Aguanga, CA",0,earthquake, CA
,,2.16,md,"10km NW of Avenal, CA",2018-10-13 23:51:56.050,"M 2.2 - 10km NW of Avenal, CA",0,earthquake, CA
,,2.61,md,"55km ESE of Punta Cana, Dominican Republic",,"M 2.6 - 55km ESE of Punta Cana, Dominican Republic",0,earthquake, Dominican Republic
,,1.7,ml,"105km W of Talkeetna, Alaska",,"M 1.7 - 105km W of Talkeetna, Alaska",0,earthquake, Alaska
,,1.13,md,"10km NW of Parkfield, CA",,"M 1.1 - 10km NW of Parkfield, CA",0,earthquake, CA
,,0.92,md,"6km NW of The Geysers, CA",,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake, CA
,,4.7,mb,"219km SSE of Saparua, Indonesia",,"M 4.7 - 219km SSE of Saparua, Indonesia",0,earthquake, Indonesia
,,0.5,ml,"10km NE of Aguanga, CA",,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake, CA
,,2.77,md,"53km SE of Punta Cana, Dominican Republic",,"M 2.8 - 53km SE of Punta Cana, Dominican Republic",0,earthquake, Dominican Republic
,,0.5,ml,"9km NE of Aguanga, CA",,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake, CA
,,4.5,mb,"120km SSW of Banda Aceh, Indonesia",,"M 4.5 - 120km SSW of Banda Aceh, Indonesia",0,earthquake, Indonesia
,,2.13,md,"14km NW of Parkfield, CA",,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake, CA
,,2.0,ml,"156km WNW of Haines Junction, Canada",,"M 2.0 - 156km WNW of Haines Junction, Canada",0,earthquake, Canada
,,0.72,md,"2km N of The Geysers, CA",,"M 0.7 - 2km N of The Geysers, CA",0,earthquake, CA
,,1.69,md,"2km S of Maricao, Puerto Rico",,"M 1.7 - 2km S of Maricao, Puerto Rico",0,earthquake, Puerto Rico
,,2.0,ml,"57km SSW of Kaktovik, Alaska",,"M 2.0 - 57km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.92,ml,"4km ENE of Calimesa, CA",,"M 0.9 - 4km ENE of Calimesa, CA",0,earthquake, CA
,,2.82,md,"61km N of Tierras Nuevas Poniente, Puerto Rico",,"M 2.8 - 61km N of Tierras Nuevas Poniente, Puerto Rico",0,earthquake, Puerto Rico
,,1.7,ml,"64km SSW of Salcha, Alaska",,"M 1.7 - 64km SSW of Salcha, Alaska",0,earthquake, Alaska
,,0.81,ml,"4km NW of San Clemente, CA",,"M 0.8 - 4km NW of San Clemente, CA",0,earthquake, CA
,,0.55,ml,"27km E of Coso Junction, CA",,"M 0.6 - 27km E of Coso Junction, CA",0,earthquake, CA
,,0.67,ml,"6km SSE of Idyllwild, CA",,"M 0.7 - 6km SSE of Idyllwild, CA",0,earthquake, CA
,,2.1,md,"14km NW of Parkfield, CA",,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake, CA
,,2.8,ml,"111km NNW of Arctic Village, Alaska",,"M 2.8 - 111km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.1,ml,"43km S of Redoubt Volcano, Alaska",,"M 1.1 - 43km S of Redoubt Volcano, Alaska",0,earthquake, Alaska
,,1.8,ml,"86km SW of Anchor Point, Alaska",,"M 1.8 - 86km SW of Anchor Point, Alaska",0,earthquake, Alaska
,,0.93,md,"15km NW of Parkfield, CA",,"M 0.9 - 15km NW of Parkfield, CA",0,earthquake, CA
,,1.52,ml,"2km WNW of Manhattan, Montana",,"M 1.5 - 2km WNW of Manhattan, Montana",0,earthquake, Montana
,,2.3,ml,"79km SW of Kaktovik, Alaska",,"M 2.3 - 79km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,1.3,ml,"13km E of Hawthorne, Nevada",,"M 1.3 - 13km E of Hawthorne, Nevada",0,earthquake, Nevada
,,1.7,ml,"45km S of Kaktovik, Alaska",,"M 1.7 - 45km S of Kaktovik, Alaska",0,earthquake, Alaska
,,2.2,ml,"83km W of Anchor Point, Alaska",,"M 2.2 - 83km W of Anchor Point, Alaska",0,earthquake, Alaska
,,1.9,ml,"60km S of Cantwell, Alaska",,"M 1.9 - 60km S of Cantwell, Alaska",0,earthquake, Alaska
,,5.0,mww,"165km NNW of Flying Fish Cove, Christmas Island",,"M 5.0 - 165km NNW of Flying Fish Cove, Christmas Island",1,earthquake, Christmas Island
,,1.6,ml,"95km N of College, Alaska",,"M 1.6 - 95km N of College, Alaska",0,earthquake, Alaska
,,2.12,ml,"7km SW of Volcano, Hawaii",,"M 2.1 - 7km SW of Volcano, Hawaii",0,earthquake, Hawaii
,,-0.1,ml,"6km NW of Lemmon Valley, Nevada",,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake, Nevada
,,1.31,ml,"10km ESE of Lincoln, Montana",,"M 1.3 - 10km ESE of Lincoln, Montana",0,earthquake, Montana
,,0.2,ml,"6km NW of Lemmon Valley, Nevada",,"M 0.2 - 6km NW of Lemmon Valley, Nevada",0,earthquake, Nevada
,,0.86,ml,"12km N of Borrego Springs, CA",,"M 0.9 - 12km N of Borrego Springs, CA",0,earthquake, CA
,,2.92,md,"67km NNE of Arecibo, Puerto Rico",,"M 2.9 - 67km NNE of Arecibo, Puerto Rico",0,earthquake, Puerto Rico
,,0.32,ml,"10km NE of Aguanga, CA",,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake, CA
,,1.84,md,"23km SSW of South Dos Palos, CA",,"M 1.8 - 23km SSW of South Dos Palos, CA",0,earthquake, CA
,,1.9,ml,"13km W of Y, Alaska",,"M 1.9 - 13km W of Y, Alaska",0,earthquake, Alaska
,,1.14,md,"6km NNW of Pinnacles, CA",,"M 1.1 - 6km NNW of Pinnacles, CA",0,earthquake, CA
,,0.9,ml,"42km WSW of Tonopah, Nevada",,"M 0.9 - 42km WSW of Tonopah, Nevada",0,earthquake, Nevada
,,-0.1,ml,"6km NW of Lemmon Valley, Nevada",,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake, Nevada
,,2.4,ml,"65km SSW of Kaktovik, Alaska",,"M 2.4 - 65km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,2.2,ml,"78km SW of Kaktovik, Alaska",,"M 2.2 - 78km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,2.5,ml,"61km S of Cantwell, Alaska",,"M 2.5 - 61km S of Cantwell, Alaska",0,earthquake, Alaska
,,0.2,ml,"61km N of Pahrump, Nevada",,"M 0.2 - 61km N of Pahrump, Nevada",0,earthquake, Nevada
,,1.46,ml,"4km SSW of Carpinteria, CA",,"M 1.5 - 4km SSW of Carpinteria, CA",0,earthquake, CA
,,4.6,mb,"242km NNW of Farallon de Pajaros, Northern Mariana Islands",,"M 4.6 - 242km NNW of Farallon de Pajaros, Northern Mariana Islands",0,earthquake, Northern Mariana Islands
,,2.21,ml,"2km WNW of Manhattan, Montana",,"M 2.2 - 2km WNW of Manhattan, Montana",0,earthquake, Montana
,,2.1,ml,"109km NW of Arctic Village, Alaska",,"M 2.1 - 109km NW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.83,ml,"17km SE of Volcano, Hawaii",,"M 1.8 - 17km SE of Volcano, Hawaii",0,earthquake, Hawaii
,,2.15,ml,"2km WNW of Big Bear City, CA",,"M 2.2 - 2km WNW of Big Bear City, CA",0,earthquake, CA
,,1.44,md,"5km WNW of San Juan Bautista, CA",,"M 1.4 - 5km WNW of San Juan Bautista, CA",0,earthquake, CA
,,2.07,ml,"30km NNW of Santa Barbara Is., CA",,"M 2.1 - 30km NNW of Santa Barbara Is., CA",0,earthquake, CA
,,0.86,md,"6km NNW of Pinnacles, CA",,"M 0.9 - 6km NNW of Pinnacles, CA",0,earthquake, CA
,,0.1,ml,"6km NW of Lemmon Valley, Nevada",,"M 0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake, Nevada
,,2.0,ml,"131km WNW of Arctic Village, Alaska",,"M 2.0 - 131km WNW of Arctic Village, Alaska",0,earthquake, Alaska
,1.0,2.76,md,"6km NNW of Pinnacles, CA",,"M 2.8 - 6km NNW of Pinnacles, CA",0,earthquake, CA
,,2.24,ml,"22km E of Honaunau-Napoopoo, Hawaii",,"M 2.2 - 22km E of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,4.6,mb,"160km NNW of Nago, Japan",,"M 4.6 - 160km NNW of Nago, Japan",0,earthquake, Japan
,,1.14,ml,"1km SE of Placentia, CA",,"M 1.1 - 1km SE of Placentia, CA",0,earthquake, CA
,,1.45,ml,"6km NNE of Banning, CA",,"M 1.5 - 6km NNE of Banning, CA",0,earthquake, CA
,,0.35,md,"18km NW of Parkfield, CA",,"M 0.4 - 18km NW of Parkfield, CA",0,earthquake, CA
,,0.7,ml,"36km ENE of Big Pine, California",,"M 0.7 - 36km ENE of Big Pine, California",0,earthquake, California
,,0.7,ml,"58km NNE of Pahrump, Nevada",,"M 0.7 - 58km NNE of Pahrump, Nevada",0,earthquake, Nevada
,,2.43,md,"70km N of Tierras Nuevas Poniente, Puerto Rico",,"M 2.4 - 70km N of Tierras Nuevas Poniente, Puerto Rico",0,earthquake, Puerto Rico
,,1.7,ml,"74km NW of Larsen Bay, Alaska",,"M 1.7 - 74km NW of Larsen Bay, Alaska",0,earthquake, Alaska
,,1.12,md,"6km WNW of The Geysers, CA",,"M 1.1 - 6km WNW of The Geysers, CA",0,earthquake, CA
,,1.5,ml,"77km NNW of New Allakaket, Alaska",,"M 1.5 - 77km NNW of New Allakaket, Alaska",0,earthquake, Alaska
,,0.62,ml,"11km NE of Aguanga, CA",,"M 0.6 - 11km NE of Aguanga, CA",0,earthquake, CA
,,0.5,ml,"59km NNE of Pahrump, Nevada",,"M 0.5 - 59km NNE of Pahrump, Nevada",0,earthquake, Nevada
,,0.1,ml,"13km S of Reno, Nevada",,"M 0.1 - 13km S of Reno, Nevada",0,earthquake, Nevada
,,2.01,ml,"21km ENE of Honaunau-Napoopoo, Hawaii",,"M 2.0 - 21km ENE of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,1.4,ml,"93km ENE of Kobuk, Alaska",,"M 1.4 - 93km ENE of Kobuk, Alaska",0,earthquake, Alaska
,,1.7,ml,"123km NNW of Arctic Village, Alaska",,"M 1.7 - 123km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,0.83,md,"5km NNW of The Geysers, CA",,"M 0.8 - 5km NNW of The Geysers, CA",0,earthquake, CA
,,1.1,ml,"14km NE of East Quincy, California",,"M 1.1 - 14km NE of East Quincy, California",0,earthquake, California
,,1.4,ml,"41km NNW of North Nenana, Alaska",,"M 1.4 - 41km NNW of North Nenana, Alaska",0,earthquake, Alaska
,,1.4,ml,"28km N of North Nenana, Alaska",,"M 1.4 - 28km N of North Nenana, Alaska",0,earthquake, Alaska
,,0.0,ml,"57km SSW of Beatty, Nevada",,"M 0.0 - 57km SSW of Beatty, Nevada",0,earthquake, Nevada
,,1.8,ml,"11km WNW of Sutton-Alpine, Alaska",,"M 1.8 - 11km WNW of Sutton-Alpine, Alaska",0,earthquake, Alaska
,,2.0,ml,"50km E of Cantwell, Alaska",,"M 2.0 - 50km E of Cantwell, Alaska",0,earthquake, Alaska
,11.0,3.22,ml,"6km NNW of Pinnacles, CA",,"M 3.2 - 6km NNW of Pinnacles, CA",0,earthquake, CA
,,4.7,mb,"32km SE of Muisne, Ecuador",,"M 4.7 - 32km SE of Muisne, Ecuador",0,earthquake, Ecuador
,,4.6,mb,"150km E of Luganville, Vanuatu",,"M 4.6 - 150km E of Luganville, Vanuatu",0,earthquake, Vanuatu
