date,open,high,low,close
2019-01-01,109.92,109.99,109.58,109.678
2019-01-02,109.678,109.726,104.707,106.711
2019-01-03,106.717,108.304,106.551,107.675
2019-01-04,107.673,108.589,107.48,108.48
2019-01-07,108.472,108.748,107.99,108.653
2019-01-08,108.657,109.088,108.42,108.781
2019-01-09,108.784,109.004,107.96,108.156
2019-01-10,108.156,108.519,107.74,108.435
2019-01-11,108.437,108.598,108.12,108.472
2019-01-14,108.503,108.511,107.97,108.153
2019-01-15,108.156,108.767,108.11,108.63
2019-01-16,108.63,109.197,108.34,109.117
2019-01-17,109.117,109.401,108.66,109.19
2019-01-18,109.19,109.889,109.03,109.772
2019-01-21,109.732,109.76,109.45,109.633
2019-01-22,109.633,109.694,109.12,109.334
2019-01-23,109.335,109.999,109.29,109.557
2019-01-24,109.556,109.801,109.39,109.565
2019-01-25,109.567,109.95,109.43,109.536
2019-01-28,109.531,109.562,109.13,109.298
2019-01-29,109.301,109.542,109.1,109.358
2019-01-30,109.358,109.743,108.78,109.059
2019-01-31,109.061,109.063,108.47,108.836
2019-02-01,108.836,109.581,108.7,109.48
2019-02-04,109.477,110.163,109.4,109.905
2019-02-05,109.904,110.041,109.75,109.947
2019-02-06,109.945,110.053,109.53,109.924
2019-02-07,109.925,110.088,109.58,109.771
2019-02-08,109.768,109.898,109.62,109.722
2019-02-11,109.799,110.468,109.74,110.387
2019-02-12,110.383,110.651,110.31,110.462
2019-02-13,110.465,111.055,110.4,111.031
2019-02-14,111.024,111.128,110.38,110.481
2019-02-15,110.484,110.646,110.23,110.535
2019-02-18,110.5,110.656,110.43,110.612
2019-02-19,110.606,110.824,110.42,110.58
2019-02-20,110.583,110.95,110.53,110.801
2019-02-21,110.801,110.855,110.55,110.663
2019-02-22,110.662,110.906,110.53,110.62
2019-02-25,110.757,111.235,110.55,111.068
2019-02-26,111.065,111.076,110.4,110.562
2019-02-27,110.563,111.074,110.32,110.945
2019-02-28,110.945,111.494,110.63,111.383
2019-03-01,111.382,112.077,111.3,111.878
2019-03-04,111.818,112.014,111.61,111.744
2019-03-05,111.743,112.137,111.69,111.887
2019-03-06,111.883,111.923,111.59,111.701
2019-03-07,111.7,111.858,111.45,111.61
2019-03-08,111.607,111.651,110.746,111.1
2019-03-11,111.091,111.346,110.85,111.327
2019-03-12,111.32,111.467,111.08,111.313
2019-03-13,111.313,111.465,110.98,111.255
2019-03-14,111.253,111.834,111.11,111.691
2019-03-15,111.696,111.902,111.36,111.42
2019-03-18,111.47,111.63,111.27,111.399
2019-03-19,111.402,111.476,111.13,111.366
2019-03-20,111.367,111.696,110.5,110.72
2019-03-21,110.721,110.959,110.27,110.788
2019-03-22,110.789,110.898,109.72,109.91
2019-03-25,110.01,110.241,109.69,110.036
2019-03-26,110.036,110.69,109.97,110.527
2019-03-27,110.527,110.714,110.2,110.488
2019-03-28,110.488,110.832,109.99,110.655
2019-03-29,110.655,110.95,110.51,110.82
2019-04-01,110.94,111.444,110.8,111.401
2019-04-02,111.403,111.457,111.22,111.331
2019-04-03,111.328,111.579,111.18,111.465
2019-04-04,111.465,111.684,111.31,111.636
2019-04-05,111.636,111.824,111.526,111.73
2019-04-08,111.676,111.732,111.25,111.473
2019-04-09,111.471,111.579,110.95,111.132
2019-04-10,111.133,111.281,110.81,110.949
2019-04-11,110.949,111.696,110.89,111.625
2019-04-12,111.626,112.096,111.55,112.02
2019-04-15,111.993,112.097,111.86,111.989
2019-04-16,111.99,112.046,111.81,111.985
2019-04-17,111.987,112.166,111.89,112.036
2019-04-18,112.036,112.062,111.73,111.978
2019-04-19,111.978,112.007,111.855,111.91
2019-04-22,111.914,111.992,111.87,111.936
2019-04-23,111.935,112.034,111.64,111.871
2019-04-24,111.87,112.401,111.65,112.097
2019-04-25,112.098,112.24,111.36,111.574
2019-04-26,111.575,112.031,111.4,111.59
2019-04-29,111.598,111.899,111.55,111.664
2019-04-30,111.664,111.69,111.2,111.449
2019-05-01,111.451,111.614,111.02,111.389
2019-05-02,111.39,111.666,111.34,111.526
2019-05-03,111.526,111.699,111.04,111.11
2019-05-06,110.811,110.959,110.27,110.78
2019-05-07,110.781,110.854,110.14,110.251
2019-05-08,110.252,110.289,109.87,110.066
2019-05-09,110.065,110.084,109.44,109.72
2019-05-10,109.726,110.05,109.47,109.891
2019-05-13,109.766,109.81,108.99,109.229
2019-05-14,109.23,109.774,109.12,109.65
2019-05-15,109.651,109.703,109.13,109.555
2019-05-16,109.556,109.967,109.31,109.862
2019-05-17,109.862,110.194,109.47,109.95
2019-05-20,110.036,110.319,109.78,110.037
2019-05-21,110.036,110.673,110.01,110.545
2019-05-22,110.545,110.626,110.21,110.302
2019-05-23,110.305,110.365,109.43,109.5
2019-05-24,109.5,109.745,109.242,109.3
2019-05-27,109.404,109.587,109.33,109.536
2019-05-28,109.535,109.63,109.18,109.36
2019-05-29,109.355,109.699,109.12,109.591
2019-05-30,109.591,109.926,109.44,109.583
2019-05-31,109.584,109.594,108.225,108.27
2019-06-03,108.195,108.446,107.85,107.955
2019-06-04,107.955,108.359,107.82,108.202
2019-06-05,108.204,108.485,107.79,108.265
2019-06-06,108.267,108.564,108.0,108.367
2019-06-07,108.37,108.618,107.85,108.18
2019-06-10,108.469,108.717,108.3,108.422
2019-06-11,108.423,108.801,108.32,108.516
2019-06-12,108.515,108.563,108.19,108.462
2019-06-13,108.461,108.538,108.13,108.367
