positionangle,separation,name,binaries,planets,stars
133.30,39.56,16 Cygni,1.0,1.0,3.0
209,3.4,16 Cygni AC,0.0,0.0,2.0
237.3,12.37,2M0441+2301,1.0,1.0,3.0
79.61,0.2323,2M 044145,0.0,0.0,2.0
,,2M 1938+4603,0.0,1.0,2.0
233.1,2.17,2MASS J02495639-0557352,0.0,1.0,2.0
275,38.00,30 Ari,2.0,1.0,4.0
,,30 Ari A,0.0,0.0,2.0
285.2,0.536,30 Ari BC,0.0,1.0,2.0
163,66.70,WDS J04376-0228,1.0,1.0,3.0
,,GJ 3305,0.0,0.0,2.0
130,84,55 Cancri,0.0,5.0,2.0
150,28.6,83 Leonis,0.0,2.0,2.0
313,49.4,91 Aquarii,1.0,1.0,3.0
,,91 Aquarii BC,0.0,0.0,2.0
113,31.60,alf Tau AB,0.0,1.0,2.0
,,,1.0,4.0,3.0
,,Alpha Centauri,0.0,2.0,2.0
,,DP Leo,0.0,1.0,2.0
,17.25,,0.0,1.0,2.0
,24.14,,0.0,1.0,2.0
,9.78,,0.0,1.0,2.0
,21.21,EPIC 201549860,0.0,2.0,2.0
,12.3,,0.0,1.0,2.0
227,1.9,EPIC 201637175,0.0,1.0,2.0
,12.15,,0.0,1.0,2.0
,2.46,,0.0,1.0,2.0
10,2.00,WDS J15576+2653,0.0,1.0,2.0
88,403.10,Epsilon Indi,1.0,1.0,3.0
,,Epsilon Indi B,0.0,0.0,2.0
,,FL Lyr,0.0,1.0,2.0
337.91,20407.6,MAM 1,1.0,1.0,3.0
187.88,7062.7,SHY 106,0.0,1.0,2.0
3.4,0.0754,FW Tau,0.0,1.0,2.0
,,gamma Cephei,0.0,1.0,2.0
127,4.60,Gamma Leonis,0.0,1.0,2.0
168,6.80,GJ 229,0.0,2.0,2.0
,,GJ 725,0.0,1.0,2.0
,,Gliese 15,0.0,2.0,2.0
355,3.90,,0.0,1.0,2.0
142,32.70,,1.0,7.0,3.0
,,,0.0,0.0,2.0
135,50.0,,0.0,4.0,2.0
234,179,,0.0,2.0,2.0
,,Gliese 86,0.0,1.0,2.0
264.10,0.8576,HAT-P-14,0.0,1.0,2.0
