mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
19.4,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,2452899.6,1.29,2008,Confirmed planets,0.231,326.03,RV,15/09/20,94.8,11 Com b
11.20,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,2452861.04,1.54,2009,Confirmed planets,0.08,516.22,RV,15/09/20,117.63,11 UMi b
4.8,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,2452861.4,0.83,2008,Confirmed planets,0,185.84,RV,15/09/20,0,14 And b
4.975,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.",,2.864,2002,Confirmed planets,0.359,1766,RV,15/09/21,22.230,14 Her b
7.679,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.",,9.037,2006,Controversial,0.184,9886,RV,15/09/21,189.076,14 Her c
1.77,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,2450539.3,1.72,1996,Confirmed planets,0.689,799.5,RV,15/09/22,83.4,16 Cygni B b
10.3,18 Delphini is a star in the constellation of Delphinus.,2451672,2.6,2008,Confirmed planets,0.08,993.3,RV,15/09/23,166.1,18 Del b
,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.",,,2008,Confirmed planets,,,imaging,15/07/29,,1RXS1609 b
14.0,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.",,,2007,Controversial,0.8,10044,transit,15/02/21,,1SWASP J1407 b
1.99,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,2454762,1.333,2010,Confirmed planets,0.09,452.8,RV,15/09/23,9.2,24 Sex b
0.86,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,2454930,2.08,2010,Confirmed planets,0.29,883.0,RV,15/09/23,220.5,24 Sex c
