temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
4742,4.74,2.7,G8 III,2.943,19,5.74,2.484,2.282,-0.35,11 Com,1.0
4340,5.024,1.80,K4III,2.876,24.08,6.415,2.091,1.939,0.04,11 UMi,1.0
4813,5.22,2.2,K0III,3.019,11,6.24,2.608,2.331,-0.24,14 And,1.0
5311.0,6.67,1.0,K0 V,5.158,0.708,7.57,4.803,4.714,0.43,14 Her,2.0
5825,5.95,1.11,G2V,5.09,1.243,6.59,4.72,4.43,0.096,16 Cygni A,0.0
,13,0.17,M,,,,,,,16 Cygni C,0.0
5750,6.20,1.07,G2V,4.99,1.127,6.86,4.70,4.65,0.052,16 Cygni B,1.0
4979,5.522,2.3,G6III,4.032,8.5,6.440,3.440,3.366,-0.052,18 Del,1.0
4060,,0.85,M0V,9.764,1.35,,9.109,8.891,,1RXS1609,1.0
,,,K5,,0.99,,,,,1SWASP J1407,1.0
5098,7.38,1.54,G5,5.292,4.9,7.400,4.486,4.285,-0.03,24 Sex,2.0
3400,,0.2,M4.5,10.77,1.1,,10.19,9.94,,2M0441+2301 Aa,0.0
2800,,0.033,M7±1,13.73,,,13.30,12.71,,2M0441+2301 Ab,0.0
2100,,0.018,M7,,,,14.03,13.46,,2M 044144,1.0
2205.0,17.7,0.12,L0/L1.5,,0.089,,,,,2M 0746+20,1.0
2550.0,20.15,0.025,M8,,,,,,,2M1207,1.0
29564,12.69,0.48,sdBV,12.757,0.223,12.17,12.889,12.955,,2M 1938+4603 A,0.0
,,0.12,M,,0.158,,,,,2M 1938+4603 B,0.0
2300.0,,0.08,M8.5/L2,,0.1,,,,,2M 2140+16,1.0
2350.0,19.788,0.13,M8,,0.11,,,,,2M 2206-20,1.0
,14.24,0.40,M3.5,10.02,,,9.47,9.17,,2MASS J01225093-2439505 A,1.0
3064,,0.108,M6γ,11.321,0.281,18.50,10.855,10.444,,2MASS J0219-3925,1.0
,,0.0458,M6,,,,,11.73,,2MASS J02495639-0557352 A,0.0
,,0.0420,M6,,,,,11.85,,2MASS J02495639-0557352 B,0.0
6462,6.48,1.31,F5V,5.681,1.37,6.86,5.580,5.479,,30 Ari Aa,0.0
,,0.14,,,,,,,,30 Ari Ab,0.0
6424,7.091,1.16,F8V,6.080,1.13,7.59,5.908,5.90,0.07,30 Ari B,1.0
,,0.50,M1V,9.57,,,,8.74,,30 Ari C,0.0
6557.0,6.11,1.18,F6 V,,1.45,,,,0.07,38 Vir,1.0
4200,4.833,0.98,K1.5III,2.949,22.03,6.020,2.197,2.085,-0.46,42 Dra,1.0
5818.7,5.04,1.063,G0V,3.960,1.24,5.66,3.736,3.75,-0.019,47 UMa,3.0
4415,5.787,1.234,K1III,2.48,18.11,5.787,1.94,1.88,-0.25,4 UMa,1.0
,5.223,1.75,F0IV,4.68,,5.485,4.60,4.56,-0.027,51 Eri,1.0
,7.70,0.67,M0,,,,,,,GJ 3305 A,0.0
,10.90,0.44,M3,,,,,,,GJ 3305 B,0.0
5793.0,5.49,1.04,G2 IV,4.66,1.266,6.16,4.23,3.911,0.2,51 Peg,1.0
5172,5.95,0.905,K0IV-V,4.768,0.943,6.82,4.265,4.015,0.35,55 Cancri A,5.0
,13,0.2,M4,8.560,,,7.933,7.666,,55 Cancri B,0.0
