declination,distance,name,rightascension,binaries,planets,stars
+17 47 34,88.9,11 Com,12 20 43,0.0,1.0,1.0
+71 49 26.0466,122.1,11 UMi,15 17 05.88899,0.0,1.0,1.0
+39 14 10.3092,79.2,14 And,23 31 17.41346,0.0,1.0,1.0
+43 49 18,18.1,14 Her,16 10 23,0.0,2.0,1.0
+50 31 30.2153,21.146,16 Cygni,19 41 48.95343,2.0,1.0,3.0
+10 50 21.4289,75.3,18 Del,20 58 25.93397,0.0,1.0,1.0
-21 04 58,145,1RXS1609,16 09 30,0.0,1.0,1.0
-39 45 42.7,133,1SWASP J1407,14 07 47.93,0.0,1.0,1.0
-00 54 08.09,74.8,24 Sex,10 23 28.370,0.0,2.0,1.0
+23 01 58.07,145,2M 044144,04 41 45.652,2.0,1.0,3.0
+20 00 32.18,12.21,2M 0746+20,07 46 42.562,0.0,1.0,1.0
-39 32 54,59,2M1207,12 07 33,0.0,1.0,1.0
+46 03 59,400.8,2M 1938+4603,19 38 32.6,1.0,1.0,2.0
+16 25 18,25,2M 2140+16,21 40 29,0.0,1.0,1.0
-20 47 05.90,26.67,2M 2206-20,22 06 22.802,0.0,1.0,1.0
-24 39 50.65,36,2MASS 0122-2439,01 22 50.938,0.0,1.0,1.0
-39 25 22.5,39.4,2MASS J0219-3925,02 19 22.10,0.0,1.0,1.0
-05 57 35.410808361,48.9,2MASS J02495639-0557352,02 49 56.3884942122,1.0,1.0,2.0
+24 38 49.9957,45.20,30 Ari,02 37 00.52363,3.0,1.0,4.0
-03 33 11.2,33.3,38 Vir,12 53 11.16,0.0,1.0,1.0
+65 33 48.5288,96.5,42 Dra,18 25 59.13734,0.0,1.0,1.0
+40 25 48.9202,14.063,47 UMa,10 59 27.97282,0.0,3.0,1.0
+64 19 40.5700,78.5,4 UMa,08 40 12.81767,0.0,1.0,1.0
-02 28 24.7749,29.4,51 Eri,04 37 36.13234,2.0,1.0,3.0
+20 46 07,14.7,51 Peg,22 57 27,0.0,1.0,1.0
+28 19 50.956901366,12.5901,55 Cancri,08 52 35.8113282132,1.0,5.0,2.0
-18 18 40.3047,8.52,61 Vir,13 18 24.31427,0.0,3.0,1.0
+58 09 45.4809,55.8,6 Lyn,06 30 47.10797,0.0,1.0,1.0
+13 46 43.6386,18.1,70 Vir,13 28 25.80861,0.0,1.0,1.0
-01 02 05.6236,81.4,75 Cet,02 32 09.42200,0.0,1.0,1.0
-19 15 21.17,19.75,7 CMa,06 36 41.038,0.0,2.0,1.0
-03 23 46.2201,92.5,81 Cet,02 37 42.80105,0.0,1.0,1.0
+03 00 47.1551,17.79,83 Leonis,11 26 45.32180,1.0,2.0,2.0
+74 54 03.34,159.1,8 Ursae Minoris,14 56 48.352,0.0,1.0,1.0
-09 05 15.8546,45.93,91 Aquarii,23 15 53.49482,2.0,1.0,3.0
-58 03 15,45.5,AB Pic,06 19 12,0.0,1.0,1.0
+23 27 44.7032,20.18,alf Ari,02 07 10.40570,0.0,1.0,1.0
+16 30 35.1,20.43,alf Tau,04 35 55.20,1.0,1.0,2.0
-60 50 08.23,1.295,Alpha Centauri,14 39 36.204,2.0,4.0,3.0
-31 20 27,9.79,AU Mic,20 45 10,0.0,1.0,1.0
