period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
326.03,11 Com b,0.231,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,RV,2452899.6,15/09/20,1.29,19.4,94.8,Confirmed planets,2008
516.22,11 UMi b,0.08,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,RV,2452861.04,15/09/20,1.54,11.20,117.63,Confirmed planets,2009
185.84,14 And b,0,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,RV,2452861.4,15/09/20,0.83,4.8,0,Confirmed planets,2008
1766,14 Her b,0.359,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.",RV,,15/09/21,2.864,4.975,22.230,Confirmed planets,2002
9886,14 Her c,0.184,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.",RV,,15/09/21,9.037,7.679,189.076,Controversial,2006
799.5,16 Cygni B b,0.689,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,RV,2450539.3,15/09/22,1.72,1.77,83.4,Confirmed planets,1996
993.3,18 Del b,0.08,18 Delphini is a star in the constellation of Delphinus.,RV,2451672,15/09/23,2.6,10.3,166.1,Confirmed planets,2008
,1RXS1609 b,,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.",imaging,,15/07/29,,,,Confirmed planets,2008
10044,1SWASP J1407 b,0.8,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.",transit,,15/02/21,,14.0,,Controversial,2007
452.8,24 Sex b,0.09,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,RV,2454762,15/09/23,1.333,1.99,9.2,Confirmed planets,2010
