magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
2.943,11 Com,19,G8 III,5.74,4.74,4742,2.282,2.7,-0.35,2.484,1.0
2.876,11 UMi,24.08,K4III,6.415,5.024,4340,1.939,1.80,0.04,2.091,1.0
3.019,14 And,11,K0III,6.24,5.22,4813,2.331,2.2,-0.24,2.608,1.0
5.158,14 Her,0.708,K0 V,7.57,6.67,5311.0,4.714,1.0,0.43,4.803,2.0
5.09,16 Cygni A,1.243,G2V,6.59,5.95,5825,4.43,1.11,0.096,4.72,0.0
,16 Cygni C,,M,,13,,,0.17,,,0.0
4.99,16 Cygni B,1.127,G2V,6.86,6.20,5750,4.65,1.07,0.052,4.70,1.0
4.032,18 Del,8.5,G6III,6.440,5.522,4979,3.366,2.3,-0.052,3.440,1.0
9.764,1RXS1609,1.35,M0V,,,4060,8.891,0.85,,9.109,1.0
,1SWASP J1407,0.99,K5,,,,,,,,1.0
5.292,24 Sex,4.9,G5,7.400,7.38,5098,4.285,1.54,-0.03,4.486,2.0
10.77,2M0441+2301 Aa,1.1,M4.5,,,3400,9.94,0.2,,10.19,0.0
13.73,2M0441+2301 Ab,,M7±1,,,2800,12.71,0.033,,13.30,0.0
,2M 044144,,M7,,,2100,13.46,0.018,,14.03,1.0
,2M 0746+20,0.089,L0/L1.5,,17.7,2205.0,,0.12,,,1.0
,2M1207,,M8,,20.15,2550.0,,0.025,,,1.0
12.757,2M 1938+4603 A,0.223,sdBV,12.17,12.69,29564,12.955,0.48,,12.889,0.0
,2M 1938+4603 B,0.158,M,,,,,0.12,,,0.0
,2M 2140+16,0.1,M8.5/L2,,,2300.0,,0.08,,,1.0
,2M 2206-20,0.11,M8,,19.788,2350.0,,0.13,,,1.0
10.02,2MASS J01225093-2439505 A,,M3.5,,14.24,,9.17,0.40,,9.47,1.0
11.321,2MASS J0219-3925,0.281,M6γ,18.50,,3064,10.444,0.108,,10.855,1.0
,2MASS J02495639-0557352 A,,M6,,,,11.73,0.0458,,,0.0
,2MASS J02495639-0557352 B,,M6,,,,11.85,0.0420,,,0.0
5.681,30 Ari Aa,1.37,F5V,6.86,6.48,6462,5.479,1.31,,5.580,0.0
,30 Ari Ab,,,,,,,0.14,,,0.0
6.080,30 Ari B,1.13,F8V,7.59,7.091,6424,5.90,1.16,0.07,5.908,1.0
9.57,30 Ari C,,M1V,,,,8.74,0.50,,,0.0
,38 Vir,1.45,F6 V,,6.11,6557.0,,1.18,0.07,,1.0
2.949,42 Dra,22.03,K1.5III,6.020,4.833,4200,2.085,0.98,-0.46,2.197,1.0
3.960,47 UMa,1.24,G0V,5.66,5.04,5818.7,3.75,1.063,-0.019,3.736,3.0
2.48,4 UMa,18.11,K1III,5.787,5.787,4415,1.88,1.234,-0.25,1.94,1.0
4.68,51 Eri,,F0IV,5.485,5.223,,4.56,1.75,-0.027,4.60,1.0
,GJ 3305 A,,M0,,7.70,,,0.67,,,0.0
,GJ 3305 B,,M3,,10.90,,,0.44,,,0.0
4.66,51 Peg,1.266,G2 IV,6.16,5.49,5793.0,3.911,1.04,0.2,4.23,1.0
4.768,55 Cancri A,0.943,K0IV-V,6.82,5.95,5172,4.015,0.905,0.35,4.265,5.0
8.560,55 Cancri B,,M4,,13,,7.666,0.2,,7.933,0.0
3.334,61 Vir,0.963,G5V,5.440,4.740,5571,2.956,0.95,0.05,2.974,3.0
4.272,6 Lyn,5.2,K0IV,6.82,5.86,4978.0,3.701,1.82,-0.13,3.825,1.0
3.80,70 Vir,1.94,G4 V,5.680,4.970,5439,3.24,1.09,-0.09,3.46,1.0
3.685,75 Cet,10.5,G3III:,6.373,5.364,4846,3.067,2.49,0.00,3.186,1.0
2.173,7 CMa,2.3,K1 III,5.011,3.96,4792,1.564,1.52,0.21,1.679,1.0
3.940,81 Cet,11,G5III,6.667,5.65,4790.0,3.266,2.4,-0.06,3.386,1.0
5.165,83 Leonis A,0.93,K0IV,7.29,6.50,5509,4.747,0.995,,4.937,0.0
5.165,83 Leonis B,0.78,K2V,7.29,7.38,4929,4.747,0.85,0.3,4.937,2.0
5.069,8 Ursae Minoris,9.9,K0,7.817,6.843,4847.4,4.515,1.8,-0.03,4.749,1.0
2.400,91 Aquarii A,11.0,K0 III,5.32,4.24,4665,1.746,1.4,-0.03,1.886,1.0
,91 Aquarii B,,K3V,10.9,9.9,,,0.78,,,0.0
,91 Aquarii C,,K,,10.1,,,0.73,,,0.0
7.576,AB Pic,,K2 V,10.01,9.16,4875.0,6.981,,-0.64,7.088,1.0
0.06,alf Ari,13.9,K2III,3.16,2.01,4553,,1.5,-0.09,,1.0
,alf Tau,45.1,K5 III,,0.99,4055,,1.13,-0.27,,1.0
,alf Tau B,,M2V,,13.6,,,,,,0.0
,Proxima Centauri,0.141,M5.5V,,,3050,,0.120,,,1.0
-1.15,Alpha Centauri A,1.227,G2 V,0.72,0.01,5790,-1.49,1.100,0.20,-1.38,0.0
-0.01,Alpha Centauri B,0.865,K1 V,2.21,1.33,5260,-0.60,0.907,0.23,-0.49,2.0
,BD+03 2562,32.35,,,,4095.0,,1.14,-0.71,,1.0
7.960,BD-08 2823,,K3V,10.94,9.86,4746,7.323,0.74,-0.07,7.498,2.0
8.61,BD-10 3166,0.81,K3.0 V,10.88,10.01,5393,8.124,0.85,0.382,8.30,1.0
7.651,BD-11 4672,0.52,K7 V,11.21,9.99,4475,6.867,0.571,-0.48,7.031,1.0
7.882,BD+14 4559,,K2V,10.66,9.66,5008,7.336,0.86,0.10,7.455,1.0
8.372,BD+15 2375,8.95,,11.3,10.31,4649,7.718,1.08,-0.22,7.862,1.0
7.154,BD+15 2940,14.7,K0,10.12,9.05,4796,6.525,1.1,0.28,6.664,1.0
7.574,BD-17 63,0.69,K5V,10.77,9.62,4714,6.914,0.74,-0.03,7.027,1.0
7.643,BD+20 1790,,K5Ve,11.08,10.001,4410,6.879,0.63,0.30,7.032,1.0
7.299,BD+20 2457,,K2II,10.99,9.74,4137,6.420,2.8,-1.00,6.606,2.0
7.003,BD+20 274,17.3,K5 III,10.72,9.367,4296,6.169,0.8,-0.46,6.337,1.0
9.770,BD+20 594,0.928,G,11.728,11.038,5766,9.368,0.961,-0.15,9.432,1.0
7.912,BD+26 1888,,K7,10.87,9.76,4748,7.336,0.76,0.02,7.437,1.0
6.704,BD+48 738,11,K0III,10.35,9.139,4414,5.904,0.74,-0.20,6.077,1.0
7.246,BD+49 828,7.6,K0,10.51,9.38,4943,6.571,1.52,-0.19,6.729,1.0
1.06,beta Cancri,47.2,K4III,5.000,3.520,4092.1,0.14,1.7,-0.29,0.28,1.0
3.67,beta Pic,,A6V,4.029,3.86,9790.0,3.53,1.60,,3.54,1.0
,beta Ursae Minoris,38.3,K4IIIvar,3.55,2.08,4126,,1.4,-0.27,,1.0
,CFBDS 1458,,T9.5,,,540.0,,0.02,,,1.0
12.674,CHXR 73,,M3.25,,,3840.0,10.703,0.35,,11.317,1.0
9.480,CI Tau,,K4IVe,15.09,13.80,,7.793,0.80,,8.43,1.0
12.567,CoRoT-10,0.79,K1V,16.676,15.216,5075.0,11.782,0.89,0.26,11.929,1.0
11.589,CoRoT-11,1.37,F6V,13.73,12.80,6440.0,11.248,1.27,-0.03,11.416,1.0
14.02,CoRoT-12,1.116,G2V,16.343,15.515,5675.0,13.56,1.078,0.16,13.63,1.0
13.710,CoRoT-13,1.01,G0V,15.33,15.04,5945.0,13.38,1.09,0.01,13.406,1.0
14.32,CoRoT-14,1.21,F9V,16.891,16.03,6035.0,13.81,1.13,0.05,14.01,1.0
13.496,CoRoT-16,1.19,G5V,17.85,16.03,5650.0,12.85,1.098,0.19,12.98,1.0
13.17,CoRoT-17,1.59,G2V,17.38,15.88,5740.0,12.47,1.04,,12.62,1.0
13.441,CoRoT-18,1,G9V,15.8,15.00,5440.0,13.01,0.95,-0.1,13.08,1.0
12.324,CoRoT-19,1.65,F9V,14.780,14.007,6090.0,11.837,1.21,-0.02,11.961,1.0
12.462,CoRoT-1,1.11,G0V,,13.6,6298.0,12.149,0.95,-0.3,12.218,1.0
12.991,CoRoT-20,1.02,G2V,15.41,14.66,5880,12.513,1.14,0.14,12.652,2.0
14.34,CoRoT-21,1.945,FIV8,16.66,15.84,6200.0,13.81,1.29,,13.98,1.0
12.414,CoRoT-22,1.136,G0IV,14.740,13.944,5939,11.988,1.099,0.17,12.099,1.0
12.944,CoRoT-23,1.61,G0V,16.0,15.63,5900.0,12.36,1.14,0.05,12.450,1.0
13.595,CoRoT-24,0.86,K1V,,,4950,12.924,0.91,0.3,13.05,2.0
13.300,CoRoT-25,1.19,F9V,15.806,14.965,6040,12.846,1.09,-0.01,12.990,1.0
