datetime,source_ip,username,success,failure_reason
2019-01-01 00:02:51.598666,209.70.184.211,ykim,True,
2019-01-01 01:12:02.611967,209.70.184.211,ykim,True,
2019-01-01 01:13:24.256034,90.55.81.7,ujones,True,
2019-01-01 01:21:20.771888,206.3.217.210,ujones,False,error_wrong_password
2019-01-01 01:21:21.771888,206.3.217.210,ujones,True,
2019-01-01 01:33:07.226989,90.55.81.7,ujones,True,
2019-01-01 01:48:16.831949,209.70.184.211,ykm,False,error_wrong_username
2019-01-01 01:48:17.831949,209.70.184.211,ykim,True,
2019-01-01 01:49:36.868276,90.55.81.7,ujones,True,
2019-01-01 02:03:08.845989,90.55.81.7,ujones,True,
2019-01-01 02:17:00.868210,25.246.225.197,hlopez,True,
2019-01-01 02:42:38.000011,25.246.225.197,hlopez,True,
2019-01-01 03:02:51.782591,193.98.19.38,brown,False,error_wrong_username
2019-01-01 03:02:52.782591,193.98.19.38,ubrown,False,error_wrong_password
2019-01-01 03:02:53.782591,193.98.19.38,ubrown,False,error_wrong_password
2019-01-01 04:05:21.208106,180.225.253.52,lkim,False,error_wrong_password
2019-01-01 04:05:22.208106,180.225.253.52,lkim,False,error_wrong_password
2019-01-01 04:05:23.208106,180.225.253.52,lkim,True,
2019-01-01 04:16:33.960424,108.94.111.193,dkim,False,error_wrong_password
2019-01-01 04:16:34.960424,108.94.111.193,dkim,True,
2019-01-01 05:43:04.425838,133.93.124.180,rsmith,True,
2019-01-01 06:16:42.175591,114.94.122.0,ojoves,False,error_wrong_username
2019-01-01 06:16:43.175591,114.94.122.0,ojones,True,
2019-01-01 06:30:59.478830,107.142.221.216,ojonls,False,error_wrong_username
2019-01-01 06:31:00.478830,107.142.221.216,ojonls,False,error_wrong_username
2019-01-01 06:31:01.478830,107.142.221.216,ojones,True,
2019-01-01 06:31:18.892387,199.209.181.250,psmith,False,error_wrong_password
2019-01-01 06:31:19.892387,199.209.181.250,psmith,True,
2019-01-01 07:09:03.331220,139.17.174.247,bjones,True,
2019-01-01 07:14:26.801738,125.15.117.120,oones,False,error_wrong_username
2019-01-01 07:14:27.801738,125.15.117.120,oones,False,error_wrong_username
2019-01-01 07:14:28.801738,125.15.117.120,ojones,False,error_wrong_password
2019-01-01 07:20:43.872355,227.187.186.96,bjones,False,error_wrong_password
2019-01-01 07:20:44.872355,227.187.186.96,bjones,True,
2019-01-01 08:30:45.014423,139.17.174.247,bjones,True,
2019-01-01 09:01:34.853123,29.74.37.92,jbrown,True,
2019-01-01 09:27:14.438248,1.218.123.66,bsmith,True,
2019-01-01 09:30:49.505364,29.74.37.92,jbrown,True,
2019-01-01 09:43:55.793054,29.74.37.92,jbrown,False,error_wrong_password
2019-01-01 09:43:56.793054,29.74.37.92,jbrown,True,
2019-01-01 09:55:50.531060,29.74.37.92,jbrown,True,
2019-01-01 10:00:59.268383,1.218.123.66,bsmith,True,
2019-01-01 10:09:40.125780,1.218.123.66,bsmith,True,
2019-01-01 10:18:34.709683,83.113.51.172,bsmith,True,
2019-01-01 10:20:24.707289,15.249.62.144,vlopez,True,
2019-01-01 10:27:25.048103,15.249.62.144,vlopz,False,error_wrong_username
2019-01-01 10:27:26.048103,15.249.62.144,vlopez,True,
2019-01-01 11:05:09.385914,168.249.146.54,ismith,True,
2019-01-01 11:07:36.871414,83.113.51.172,bsmith,True,
2019-01-01 11:27:46.806788,235.42.240.18,ismit,False,error_wrong_username
2019-01-01 11:27:47.806788,235.42.240.18,ismit,False,error_wrong_username
2019-01-01 11:27:48.806788,235.42.240.18,ismith,False,error_wrong_password
2019-01-01 12:19:00.553312,139.17.174.247,bjones,True,
2019-01-01 12:24:41.047155,227.187.186.96,bjones,True,
