products_viewed,products_purchased
6.0,0.0
6.0,0.0
7.0,0.0
7.0,0.0
2.0,0.0
10.0,0.0
8.0,0.0
6.0,0.0
5.0,0.0
10.0,0.0
9.0,0.0
2.0,0.0
6.0,0.0
9.0,0.0
8.0,0.0
8.0,0.0
10.0,0.0
4.0,0.0
3.0,0.0
6.0,0.0
24.0,11.0
22.0,8.0
17.0,6.0
12.0,13.0
26.0,20.0
15.0,17.0
20.0,5.0
21.0,7.0
30.0,2.0
16.0,19.0
24.0,4.0
23.0,9.0
19.0,11.0
16.0,8.0
15.0,4.0
14.0,20.0
24.0,11.0
17.0,5.0
23.0,8.0
30.0,15.0
39.0,27.0
36.0,29.0
46.0,20.0
29.0,28.0
31.0,22.0
28.0,30.0
37.0,26.0
28.0,19.0
45.0,27.0
44.0,21.0
31.0,27.0
27.0,30.0
29.0,26.0
49.0,16.0
43.0,21.0
27.0,20.0
38.0,24.0
28.0,27.0
29.0,28.0
35.0,20.0
